"search_keyword","commerce_search_count","integrated_search_count","order_usage_rate","ad_intype_rate","organic_rate","c","uc","r","ctr","cvr","search_fail_20_rate","search_fail_100_rate","filter_usage_rate","related_search_rate","date"
"생분해","13","3","100.0","0.0","100.0","76","20","4888","95.45454545454545","0.0","31.57894736842105","26.31578947368421","9.090909090909092","4.545454545454546","2022-03-06"
"일룸","130","56","86.13138686131387","0.0","100.0","832","281","510","71.09634551495017","0.0","74.68879668049793","58.92116182572614","0.6600660066006601","11.258278145695364","2022-03-06"
"액자포스터","13","12","83.33333333333333","0.0","100.0","287","51","1459","80.70175438596492","0.0","52.5","35.0","5.2631578947368425","1.8181818181818181","2022-03-06"
"생선접시","41","7","96.29629629629629","0.0","100.0","179","36","2264","81.57894736842105","0.0","38.888888888888886","27.77777777777778","2.6315789473684212","0.0","2022-03-06"
"숟가락","25","10","85.71428571428571","0.0","100.0","304","81","1379","75.86206896551724","0.0","51.94805194805195","38.96103896103896","2.272727272727273","3.4482758620689653","2022-03-06"
"페르시안러그","18","3","93.33333333333333","0.0","100.0","90","23","4202","75.0","0.0","52.63157894736842","26.31578947368421","4.166666666666667","0.0","2022-03-06"
"극세사러그","11","3","100.0","0.0","100.0","54","11","6545","63.63636363636363","0.0","70.0","60.0","18.181818181818183","9.090909090909092","2022-03-06"
"캠핑랜턴","9","4","88.88888888888889","0.0","100.0","53","12","6637","76.92307692307692","0.0","63.63636363636363","36.36363636363637","7.142857142857143","0.0","2022-03-06"
"버터나이프","54","11","97.36842105263158","0.0","100.0","383","81","1124","75.82417582417582","0.0","52.27272727272727","35.22727272727273","5.4945054945054945","3.3333333333333335","2022-03-06"
"리프트업","38","5","92.5925925925926","0.0","100.0","561","93","757","91.0","0.0","22.471910112359552","15.730337078651685","6.0","3.0","2022-03-06"
"세비즈","0","2","40.0","0.0","100.0","15","5","19993","100.0","0.0","0.0","0.0","20.0","0.0","2022-03-06"
"붙이는블라인드","31","8","93.33333333333333","0.0","100.0","120","32","3301","86.48648648648648","0.0","25.714285714285715","22.857142857142858","2.7027027027027026","2.7027027027027026","2022-03-06"
"조리도구받침","4","2","75.0","0.0","100.0","28","7","11382","100.0","0.0","33.333333333333336","0.0","14.285714285714286","0.0","2022-03-06"
"냄비받침","116","56","92.23300970873787","0.0","100.0","1219","261","349","75.34722222222223","0.0","51.53846153846154","36.53846153846154","5.536332179930795","1.3888888888888888","2022-03-06"
"마크라메","39","22","93.33333333333333","0.0","100.0","492","90","853","82.65306122448979","0.0","51.282051282051285","29.487179487179485","1.0204081632653061","4.081632653061225","2022-03-06"
"드레스룸행거","41","54","78.33333333333333","0.0","100.0","546","98","778","81.65137614678899","0.0","40.67796610169491","30.508474576271187","3.6036036036036037","1.8018018018018018","2022-03-06"
"바구니","149","77","85.90604026845638","0.0","100.0","1768","425","226","73.4966592427617","0.0","63.63636363636363","45.72192513368984","2.4070021881838075","7.00218818380744","2022-03-06"
"아일랜드식탁의자","82","72","79.41176470588235","0.0","100.0","838","153","505","79.21348314606742","0.0","52.41935483870968","37.096774193548384","2.7624309392265194","4.49438202247191","2022-03-06"
"싱크대하부장","14","10","75.0","0.0","100.0","69","17","5306","73.6842105263158","0.0","46.15384615384615","38.46153846153846","5.2631578947368425","0.0","2022-03-06"
"렌지가드","25","14","92.0","0.0","100.0","219","63","1895","80.0","0.0","33.333333333333336","26.666666666666668","1.492537313432836","1.492537313432836","2022-03-06"
"노와","12","3","65.38461538461539","0.0","100.0","76","24","4888","76.92307692307692","0.0","40.90909090909091","40.90909090909091","3.8461538461538463","0.0","2022-03-06"
"고로고로","18","4","100.0","0.0","100.0","80","20","4686","80.95238095238095","0.0","50.0","38.888888888888886","14.285714285714286","0.0","2022-03-06"
"물티슈","116","70","79.48717948717949","0.0","100.0","855","256","492","81.41263940520446","0.0","37.735849056603776","29.71698113207547","3.7037037037037037","2.6022304832713754","2022-03-06"
"사각후라이팬","26","14","82.14285714285714","0.0","100.0","140","39","2870","73.17073170731707","0.0","44.11764705882353","35.294117647058826","2.4390243902439024","2.4390243902439024","2022-03-06"
"몬스테라","58","23","90.1639344262295","0.0","100.0","570","159","747","74.25149700598803","0.0","46.96969696969697","34.09090909090909","0.5988023952095808","2.395209580838323","2022-03-06"
"침대선반","49","13","88.88888888888889","0.0","100.0","268","78","1554","72.15189873417721","0.0","61.42857142857143","51.42857142857143","4.938271604938271","11.25","2022-03-06"
"세탁세제","22","12","76.0","0.0","100.0","189","61","2163","70.0","0.0","48.07692307692308","36.53846153846154","1.6129032258064515","1.6129032258064515","2022-03-06"
