"search_keyword","qc","cc","ctr","uqc","ucc","uctr"
"라움 그릇","37","31","119.35483870967742","7","5","140.0"
"미니피스","13","6","216.66666666666666","4","4","100.0"
"씨투써밋","16","9","177.77777777777777","7","6","116.66666666666667"
"일룸 땅콩","11","5","220.0","5","4","125.0"
"보헤미안 러그","46","28","164.28571428571428","14","9","155.55555555555554"
"큐티폴고아","553","349","158.45272206303724","112","95","117.89473684210526"
"쇼파자코모","21","16","131.25","2","2","100.0"
"원룸홈트","10","4","250.0","3","3","100.0"
"쇼파테이블 투명","18","13","138.46153846153845","2","2","100.0"
"엔틱 화장대","115","78","147.43589743589743","25","20","125.0"
"이불패드고정","38","18","211.11111111111111","7","5","140.0"
"워터루핀","23","10","230.0","10","8","125.0"
"플레이모빌XXL","212","84","252.38095238095238","54","33","163.63636363636363"
"노출천정","18","12","150.0","6","6","100.0"
"스페이스빌더","23","9","255.55555555555554","6","4","150.0"
"오가닉차렵이불","16","15","106.66666666666667","1","1","100.0"
"인버터 벽걸이 에어컨","12","14","85.71428571428571","2","2","100.0"
"투명바구니","66","39","169.23076923076923","22","16","137.5"
"올리비아","47","23","204.34782608695653","22","14","157.14285714285714"
"나비주름속커튼","15","12","125.0","1","1","100.0"
"거실 화장대","14","5","280.0","4","3","133.33333333333334"
"주니어옷장","678","507","133.72781065088756","128","108","118.51851851851852"
"미니화로대","12","5","240.0","4","2","200.0"
"eesookee","27","30","90.0","7","6","116.66666666666667"
"칼딘","174","117","148.71794871794873","38","28","135.71428571428572"
"작은옷장","85","54","157.40740740740742","37","28","132.14285714285714"
"철제 서랍","238","207","114.97584541062803","115","79","145.56962025316454"
"웨인스코팅몰딩","11","3","366.6666666666667","4","1","400.0"
"라이트그레이 쇼파","12","6","200.0","2","1","200.0"
"가루세제","54","53","101.88679245283019","19","15","126.66666666666667"
"칫솔선반","21","11","190.9090909090909","9","5","180.0"
"카페 쇼파","17","9","188.88888888888889","6","3","200.0"
"se68","28","22","127.27272727272727","9","8","112.5"
"티오책상","81","53","152.83018867924528","18","18","100.0"
"오르골","903","1634","55.26315789473684","201","151","133.11258278145695"
"일룸무헤드","13","8","162.5","5","4","125.0"
"세라믹우드식탁","16","10","160.0","4","3","133.33333333333334"
"라지킹호텔침구","12","4","300.0","2","2","100.0"
"칼라디움스파이더","20","2","1000.0","10","1","1000.0"
"선반1000","36","24","150.0","10","9","111.11111111111111"
"수납장다리","10","2","500.0","4","1","400.0"
"쓰레기박스","10","6","166.66666666666666","4","2","200.0"
"퍼플뉴","103","72","143.05555555555554","6","5","120.0"
"소파4인패드","36","35","102.85714285714286","1","1","100.0"
"도톰 나비주름","21","19","110.52631578947368","2","2","100.0"
"압력밥솥CRP-BHxB0660FB","11","0","Infinity","1","0","Infinity"
"사진소품","56","30","186.66666666666666","18","12","150.0"
"쪽장","20","13","153.84615384615384","7","4","175.0"
"휴게","10","10","100.0","2","2","100.0"
"아토소","97","64","151.5625","30","24","125.0"
"바자르광목커튼","20","16","125.0","3","3","100.0"
"인센스스틱","1103","1057","104.3519394512772","267","207","128.9855072463768"
"삼성 무풍에어컨","124","83","149.3975903614458","24","22","109.0909090909091"
"평소생활크림토퍼","20","14","142.85714285714286","2","2","100.0"
"이불만","16","12","133.33333333333334","2","2","100.0"
"테이블 스피커","17","8","212.5","7","5","140.0"
"누보데코","13","6","216.66666666666666","8","6","133.33333333333334"
