"search_keyword","qc","card_cc","avg_object_idx","click_ranking","object_idx_list","object_id_list"
"그레이 러그","15.0","1.0","3.0","{3=1}","[3]","[12573273]"
"전자레인지 수납장","200.0","31.0","3.58","{0=7, 1=4, 2=2, 3=2, 4=3, 5=1, 6=6, 7=4, 8=2}","[7, 4, 6, 0, 2, 0, 8, 8, 0, 0, 4, 4, 1, 3, 6, 7, 7, 7, 0, 6, 6, 3, 0, 0, 6, 2, 1, 6, 1, 1, 5]","[11526178, 4308695, 11526178, 13679370, 10871763, 13679370, 12822485, 11969315, 10204020, 10204020, 4308695, 4308695, 10204020, 12883473, 11526178, 11526178, 11526178, 11526178, 13679370, 2375259, 11526178, 10871763, 13679370, 13679370, 2375259, 10871763, 12883473, 2375259, 10204020, 4381471, 7862702]"
"활장스탠드","21.0","6.0","3.83","{0=1, 1=1, 2=1, 6=1, 7=2}","[1, 2, 0, 7, 6, 7]","[10321666, 9067043, 10321666, 14389744, 10973655, 14389744]"
"led 조명","14.0","1.0","7.0","{7=1}","[7]","[7198104]"
"아기","166.0","22.0","2.23","{0=6, 1=4, 2=5, 3=2, 4=1, 5=2, 7=1, 8=1}","[3, 5, 0, 4, 2, 1, 2, 1, 2, 0, 2, 0, 2, 7, 1, 1, 0, 0, 8, 5, 0, 3]","[10871781, 14544000, 12292309, 12070740, 14453054, 14547483, 14453054, 14547483, 14544000, 12292309, 14453054, 12292309, 14453054, 12070740, 14547483, 14547483, 12292309, 12292309, 9109159, 12070740, 12292309, 10871781]"
"빗셰","12.0","4.0","1.5","{0=2, 2=1, 4=1}","[0, 0, 4, 2]","[12933378, 12933378, 9702492, 4826021]"
"젓가락","163.0","18.0","1.11","{0=9, 1=6, 2=1, 5=1, 7=1}","[0, 1, 1, 1, 2, 5, 0, 1, 0, 0, 0, 0, 0, 0, 1, 7, 1, 0]","[14332096, 14332096, 14332096, 14332096, 14332098, 14583100, 14332096, 14332096, 14332096, 14332096, 14332096, 14332096, 14332096, 14332096, 14332096, 14583100, 8793409, 14332096]"
"거실장 2000","14.0","2.0","5.5","{5=1, 6=1}","[5, 6]","[5328565, 11272886]"
"이니시아","15.0","1.0","4.0","{4=1}","[4]","[6531420]"
"좁은부엌","17.0","3.0","0.33","{0=2, 1=1}","[0, 0, 1]","[13523140, 13523140, 12925314]"
"회접시","17.0","3.0","1.33","{0=1, 1=1, 3=1}","[0, 1, 3]","[13774620, 5925155, 12370620]"
"대리석 테이블","20.0","1.0","5.0","{5=1}","[5]","[3486139]"
"슬라이딩서랍","15.0","2.0","4.0","{1=1, 7=1}","[1, 7]","[11493652, 10367876]"
"침대방향","10.0","6.0","1.5","{0=2, 1=1, 2=2, 4=1}","[2, 2, 4, 0, 0, 1]","[14919672, 14919672, 12032494, 12929934, 12488945, 14058931]"
"이케아스탠드","55.0","3.0","5.33","{0=1, 8=2}","[8, 8, 0]","[10602223, 10602223, 15303530]"
"달력","1167.0","117.0","2.94","{0=10, 1=28, 2=31, 3=8, 4=10, 5=10, 6=6, 7=8, 8=6}","[6, 0, 5, 4, 0, 4, 4, 4, 1, 4, 5, 3, 1, 3, 8, 0, 1, 3, 1, 8, 8, 6, 2, 7, 7, 0, 1, 2, 2, 4, 2, 0, 1, 3, 2, 0, 2, 6, 2, 4, 3, 5, 2, 1, 1, 2, 2, 4, 2, 7, 1, 1, 5, 2, 2, 1, 8, 1, 7, 4, 0, 6, 5, 2, 2, 6, 2, 2, 2, 1, 2, 1, 2, 1, 1, 1, 2, 1, 2, 1, 1, 2, 0, 7, 5, 4, 2, 2, 2, 1, 1, 5, 8, 0, 7, 5, 2, 1, 7, 1, 1, 1, 6, 3, 3, 8, 3, 2, 0, 5, 5, 7, 1, 2, 2, 1, 2]","[14409342, 14178378, 13505025, 14924735, 14021780, 9418085, 14924735, 9418085, 14021780, 14924735, 14409342, 14924735, 14021780, 9418085, 13169030, 14178378, 13995813, 9418085, 9418085, 14638073, 13169030, 13505025, 12956325, 13335945, 13335945, 14178378, 12956325, 12956325, 14178378, 12956325, 9418085, 14021780, 14178378, 12956325, 12956325, 12944114, 12956325, 14924735, 12956325, 14924735, 9418085, 14924735, 12956325, 14178378, 14178378, 12956325, 12956325, 14924735, 12956325, 14409342, 12956325, 14021780, 14924735, 12956325, 12956325, 9418085, 14409342, 12956325, 13335945, 13505025, 14178378, 14924735, 12956325, 12956325, 14178378, 13335945, 12956325, 12956325, 9418085, 14021780, 12956325, 12956325, 14178378, 12956325, 9418085, 12956325, 14021780, 14021780, 12956325, 12956325, 14021780, 9418085, 14638073, 14924735, 14924735, 14924735, 14638073, 14638073, 12956325, 14021780, 14021780, 13505025, 13169030, 14178378, 14924735, 12956325, 14021780, 9418085, 13335945, 14021780, 14021780, 13995813, 14924735, 9418085, 12956325, 14409342, 10616478, 12956325, 12944114, 14924735, 13505025, 13335945, 12956325, 12956325, 12956325, 14178378, 14021780]"
"거울시트지","21.0","2.0","2.0","{1=1, 3=1}","[1, 3]","[36325, 11251626]"
"책수납","65.0","3.0","1.0","{0=2, 3=1}","[0, 0, 3]","[12653480, 12653480, 13479585]"
"행잉 오거나이저","10.0","3.0","1.0","{1=3}","[1, 1, 1]","[12726156, 12726156, 12726156]"
"현관신발장","63.0","14.0","4.21","{0=3, 2=1, 3=3, 5=1, 6=2, 7=1, 8=3}","[5, 0, 8, 0, 7, 6, 0, 3, 2, 6, 8, 3, 8, 3]","[12279793, 12883307, 12111952, 5564760, 11089711, 11089711, 10172443, 13211039, 10769113, 10769113, 5564760, 13211039, 12111952, 12883307]"
"욕실컵","15.0","10.0","3.7","{0=1, 1=2, 2=1, 3=1, 4=1, 5=1, 6=1, 7=1, 8=1}","[8, 1, 0, 1, 5, 4, 2, 3, 7, 6]","[13788289, 8238911, 13918921, 8238911, 13622411, 6742953, 9979952, 13918922, 11701797, 11701801]"
"남자 원룸","16.0","5.0","3.4","{0=2, 4=1, 5=1, 8=1}","[0, 8, 5, 4, 0]","[12944238, 11889349, 5263025, 4579796, 12944238]"
"티백보관","10.0","7.0","1.0","{0=2, 1=3, 2=2}","[0, 2, 0, 1, 2, 1, 1]","[11415545, 14541374, 11415545, 13592692, 14541374, 13592692, 13592692]"
"코너테이블","78.0","13.0","2.62","{0=4, 1=2, 2=3, 4=1, 6=1, 8=2}","[2, 0, 1, 1, 2, 0, 6, 8, 0, 2, 8, 0, 4]","[11915466, 11881766, 12106006, 12106006, 11915466, 11881766, 11640832, 12007078, 11881766, 11915466, 12007078, 11881766, 57814]"
"아이스박스","65.0","6.0","2.5","{0=2, 1=1, 3=2, 8=1}","[3, 1, 0, 0, 8, 3]","[10289998, 9456898, 10289998, 10289998, 9440088, 10289998]"
"연두색","14.0","4.0","1.0","{0=2, 2=2}","[2, 0, 0, 2]","[6231667, 14398345, 14398345, 6625236]"
"싱크수전","17.0","3.0","1.33","{0=2, 4=1}","[0, 4, 0]","[13759859, 12942100, 13759859]"
"보만","43.0","1.0","1.0","{1=1}","[1]","[2364698]"
"도기","10.0","3.0","3.33","{0=1, 4=1, 6=1}","[0, 4, 6]","[11080828, 14457101, 4138797]"
"셀프 타일","10.0","6.0","1.33","{0=3, 1=1, 2=1, 5=1}","[5, 2, 0, 0, 1, 0]","[11017817, 12021917, 12438139, 12438139, 12438139, 12438139]"
"슬림수납장","149.0","19.0","3.32","{0=1, 1=9, 4=1, 5=2, 6=3, 7=2, 8=1}","[6, 1, 1, 1, 6, 1, 7, 5, 0, 1, 4, 1, 7, 1, 8, 6, 1, 1, 5]","[11415857, 7786555, 14370629, 10665563, 11415857, 14370629, 10665566, 10665567, 10665563, 14370629, 10665566, 14370629, 10665567, 10665563, 14258630, 10665567, 10665563, 10665563, 10665564]"
"타일시트지","192.0","26.0","2.58","{0=11, 1=2, 2=2, 3=1, 4=2, 5=4, 7=2, 8=2}","[7, 8, 8, 5, 0, 0, 3, 5, 5, 0, 2, 1, 0, 5, 0, 0, 0, 0, 4, 1, 2, 0, 4, 0, 7, 0]","[5846615, 15239002, 15239002, 12026748, 10477529, 10477529, 9462538, 12026748, 12026748, 12026757, 12026757, 10477529, 10477529, 12026748, 10477529, 12026757, 10477529, 12026757, 10611136, 10477529, 8608915, 10477529, 10611136, 10477529, 5846615, 10477529]"
"접착식타일","27.0","5.0","2.4","{0=2, 1=1, 3=1, 8=1}","[3, 1, 8, 0, 0]","[14856439, 8010704, 15160587, 12438139, 12438139]"
"운동기구","101.0","29.0","3.1","{0=10, 1=4, 2=1, 3=3, 4=1, 5=1, 6=2, 7=2, 8=5}","[1, 0, 0, 3, 6, 0, 1, 1, 0, 3, 8, 0, 8, 0, 0, 4, 0, 8, 1, 5, 3, 7, 0, 6, 7, 0, 8, 8, 2]","[12250813, 12250813, 14709219, 14687467, 12250811, 12250813, 12250813, 12250813, 14709219, 14687467, 14535590, 14709219, 12250818, 12250813, 12250813, 12250811, 12250813, 14535590, 12250813, 14709219, 14687498, 9834266, 14709219, 12250811, 14535590, 14709219, 14535590, 14535590, 14687498]"
"확장형 화장대","14.0","3.0","4.0","{1=1, 4=1, 7=1}","[4, 7, 1]","[15032899, 12917770, 9812675]"
"패밀리침대커버","14.0","1.0","8.0","{8=1}","[8]","[5466338]"
"3연동","10.0","2.0","4.5","{2=1, 7=1}","[7, 2]","[11026406, 8772293]"
"모노톤","22.0","7.0","2.57","{1=2, 2=4, 8=1}","[2, 2, 1, 8, 1, 2, 2]","[11866363, 11866363, 12890896, 14511193, 12890896, 11866363, 11866363]"
"미라지가구","16.0","3.0","5.0","{4=2, 7=1}","[4, 7, 4]","[3223491, 11580440, 3223491]"
"씽크대시트지","56.0","21.0","2.05","{0=8, 1=3, 2=3, 3=1, 4=1, 5=3, 6=2}","[0, 0, 5, 0, 5, 1, 1, 0, 2, 0, 2, 1, 0, 6, 0, 5, 3, 2, 4, 0, 6]","[12321469, 12321469, 10928786, 12321469, 10928786, 14529747, 14529747, 12321469, 12026757, 12321469, 12026757, 14529747, 12321469, 74613, 12321469, 10928786, 13206666, 12026757, 12632231, 12321469, 74613]"
"냉장고가벽","21.0","5.0","3.6","{1=1, 2=2, 5=1, 8=1}","[1, 5, 2, 2, 8]","[8695925, 10206756, 13082, 14904329, 9794661]"
"마블 컵","10.0","4.0","0.5","{0=3, 2=1}","[0, 0, 2, 0]","[10995674, 10995674, 10929256, 10995674]"
"마샬 스탠모어","62.0","8.0","4.5","{0=1, 1=1, 4=3, 7=1, 8=2}","[0, 8, 1, 7, 4, 4, 4, 8]","[13565690, 14940636, 12368959, 12805109, 11207240, 11207240, 11207240, 14940636]"
"신발선반","38.0","6.0","2.83","{2=5, 7=1}","[2, 2, 7, 2, 2, 2]","[8724014, 8724014, 16573, 8724014, 8724014, 8724014]"
"인테리어필름","98.0","14.0","3.14","{0=2, 2=3, 3=2, 4=3, 5=4}","[0, 5, 3, 0, 2, 4, 5, 3, 5, 2, 2, 4, 5, 4]","[13378532, 11658806, 12072550, 13378532, 14612208, 14030945, 3203281, 12072550, 11658806, 14612208, 14612208, 14612208, 11658806, 14030945]"
"노르딕","51.0","2.0","3.5","{0=1, 7=1}","[0, 7]","[14741831, 14705238]"
"비누받침","448.0","39.0","3.15","{0=8, 1=4, 2=3, 3=8, 4=5, 5=4, 6=3, 7=1, 8=3}","[4, 8, 1, 0, 7, 3, 8, 3, 8, 3, 5, 1, 2, 2, 0, 3, 1, 3, 0, 0, 0, 4, 4, 2, 3, 0, 5, 4, 4, 0, 5, 6, 6, 0, 1, 3, 5, 6, 3]","[10299365, 13020763, 11930194, 13589881, 11818874, 13716166, 13064987, 10299365, 13020763, 13716166, 10763950, 5146773, 11930194, 13716166, 13589881, 10299365, 5146773, 12486555, 13589881, 11826714, 13589881, 10299365, 10299365, 5146773, 10299365, 13589881, 10209247, 12486555, 10299365, 13589881, 10299365, 13589881, 13779034, 13589881, 5146773, 12486555, 10209247, 3507793, 12486555]"
"데스크테리어","2281.0","189.0","3.07","{0=44, 1=39, 2=18, 3=10, 4=14, 5=16, 6=12, 7=21, 8=15}","[1, 3, 7, 7, 0, 0, 3, 6, 8, 2, 7, 1, 1, 7, 6, 7, 0, 7, 4, 0, 0, 5, 0, 8, 7, 4, 1, 2, 6, 5, 0, 2, 0, 0, 7, 2, 5, 1, 6, 1, 1, 0, 1, 1, 0, 5, 1, 0, 7, 2, 0, 3, 6, 2, 3, 1, 6, 1, 7, 7, 1, 1, 1, 1, 5, 5, 0, 5, 1, 2, 7, 4, 4, 0, 1, 2, 7, 0, 6, 0, 2, 0, 0, 4, 4, 8, 1, 1, 3, 2, 6, 0, 0, 4, 6, 1, 8, 2, 1, 7, 7, 8, 1, 7, 1, 2, 7, 0, 5, 5, 3, 4, 4, 0, 0, 5, 0, 2, 0, 3, 0, 1, 0, 0, 7, 0, 1, 5, 0, 7, 7, 5, 2, 1, 1, 0, 8, 8, 2, 2, 8, 8, 0, 1, 1, 2, 0, 0, 1, 0, 4, 1, 4, 1, 8, 2, 0, 0, 6, 0, 8, 5, 8, 7, 4, 0, 1, 4, 3, 0, 1, 6, 5, 1, 0, 5, 1, 3, 0, 8, 8, 0, 8, 5, 1, 4, 1, 6, 3]","[12995255, 14628566, 11467118, 11467118, 12039529, 12899352, 8889700, 14246867, 14106772, 12995255, 13468158, 12899352, 12899352, 13468158, 14656773, 11467118, 15031029, 12368811, 15026661, 14628566, 12899352, 14656773, 12039529, 12687562, 15026661, 13323527, 12899352, 12995255, 15026661, 14723233, 14628566, 12995255, 15031029, 12039529, 12368811, 12995255, 14656773, 12899352, 15026661, 12899352, 12899352, 15031029, 12899352, 12899352, 15031029, 14723233, 12899352, 12039529, 11467118, 12995255, 12899352, 14628566, 14116214, 12995255, 14628566, 12899352, 14246867, 12899352, 15026661, 11467118, 12899352, 12899352, 12899352, 12995255, 15026661, 14656773, 12039529, 14723233, 12899352, 14628566, 12368811, 15026661, 13468159, 12899352, 12899352, 12995255, 15026661, 12899352, 12570546, 12039529, 12995255, 12039529, 12899352, 14628566, 14656773, 13600572, 12899352, 12899352, 12995255, 12995255, 14656773, 12039529, 12899352, 14246867, 13323527, 12899352, 13600572, 12995255, 12899352, 11467118, 11467118, 12570546, 12899352, 15026661, 12899352, 12995255, 14106772, 15031029, 13323527, 13323527, 14628566, 14628566, 13468159, 12899352, 14628566, 14125224, 12899352, 12995255, 15031029, 10195584, 12899352, 12899352, 15031029, 15031029, 15026661, 12899352, 12899352, 14801658, 12899352, 11467118, 15026661, 14723233, 12995255, 12899352, 12899352, 12039529, 11467118, 11467118, 12995255, 12995255, 13600572, 13600572, 14628566, 12899352, 12899352, 12995255, 12899352, 12899352, 12899352, 12899352, 15026661, 8889700, 14656773, 12899352, 13600572, 12995255, 12039529, 12039529, 13468158, 12899352, 11467118, 14656773, 12570546, 11467118, 14656773, 12899352, 12995255, 14656773, 14246867, 12039529, 12899352, 15026661, 14656773, 12899352, 12899352, 14933737, 12899352, 8889700, 15031029, 13468158, 13600572, 14628566, 13600572, 14723233, 12899352, 8889700, 12899352, 14116214, 14628566]"
"원형 트레이","10.0","1.0","2.0","{2=1}","[2]","[11936908]"
"체크담요","28.0","7.0","1.57","{0=3, 1=3, 8=1}","[1, 8, 1, 1, 0, 0, 0]","[13624032, 12958027, 13624032, 13624032, 13560090, 13560090, 13560090]"
"타이머","132.0","32.0","2.0","{0=12, 1=7, 2=4, 3=2, 4=1, 5=2, 6=1, 7=1, 8=2}","[2, 0, 0, 0, 1, 4, 1, 8, 1, 8, 0, 0, 3, 0, 2, 0, 6, 2, 5, 1, 0, 1, 7, 0, 1, 3, 0, 0, 1, 5, 0, 2]","[11818876, 3648361, 11818876, 11818876, 11818876, 15012204, 11818872, 3648361, 11818872, 3648361, 3648361, 11818876, 14595354, 11818876, 10959873, 11818876, 13874390, 10959873, 11818875, 11818872, 11818876, 11818872, 15012202, 3648361, 11818872, 14595354, 11818876, 3648361, 11818872, 11818875, 11818876, 10959873]"
"미니조명","86.0","12.0","2.92","{0=3, 1=2, 2=1, 3=1, 5=2, 6=3}","[5, 1, 1, 5, 0, 6, 6, 2, 0, 6, 0, 3]","[15296999, 11648280, 11648280, 15296999, 10339934, 15296999, 15296999, 10204012, 10339934, 15296999, 10339934, 10204012]"
"수납트레이","44.0","4.0","3.0","{2=3, 6=1}","[6, 2, 2, 2]","[6620067, 14161422, 14161422, 14161422]"
"어린이 책상","20.0","2.0","5.0","{3=1, 7=1}","[3, 7]","[12729715, 14404760]"
"카모메키친","83.0","2.0","2.5","{1=1, 4=1}","[1, 4]","[13259174, 5546092]"
"에싸소파","55.0","14.0","2.07","{0=4, 1=3, 2=1, 3=3, 4=1, 5=1, 6=1}","[0, 5, 1, 3, 0, 2, 0, 3, 3, 0, 6, 1, 4, 1]","[14596883, 11148711, 10474738, 10474738, 14596883, 10474738, 14596883, 10474738, 10806761, 13450319, 10806761, 14596883, 11148711, 13450319]"
"두닷 책장","31.0","2.0","3.0","{3=2}","[3, 3]","[8669126, 8669126]"
"까사","31.0","6.0","4.17","{2=3, 5=1, 6=1, 8=1}","[2, 5, 2, 2, 8, 6]","[13428241, 14262004, 13428241, 13428241, 11995345, 12345323]"
"셀프타일","19.0","9.0","1.78","{0=6, 1=1, 7=1, 8=1}","[7, 0, 0, 0, 0, 8, 0, 1, 0]","[11355795, 12438139, 12438139, 12438139, 12438139, 11995347, 12438139, 12021917, 12438139]"
"옷장세트","44.0","5.0","4.0","{2=1, 3=1, 5=3}","[3, 5, 2, 5, 5]","[9196532, 12694218, 6820762, 12694218, 12694218]"
"테이블 ","37.0","3.0","4.0","{3=1, 4=1, 5=1}","[3, 4, 5]","[12081684, 11630253, 9425685]"
"키친랙","32.0","12.0","1.67","{0=4, 1=3, 2=2, 3=1, 5=2}","[0, 1, 5, 0, 0, 3, 5, 0, 1, 1, 2, 2]","[10920350, 11834784, 12843406, 10920350, 10920350, 11332581, 12843406, 10920350, 11834784, 11834784, 11332581, 11332581]"
"숟가락세트","120.0","11.0","6.36","{0=1, 7=10}","[7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7]","[8586137, 8586137, 8586137, 8586137, 8586137, 8586137, 14836511, 8586137, 8586137, 8586137, 8586137]"
"칸막이커튼","12.0","4.0","3.25","{2=1, 3=2, 5=1}","[2, 5, 3, 3]","[12708202, 8891468, 11644872, 11644872]"
"거실원형테이블","17.0","4.0","3.75","{0=1, 5=3}","[5, 0, 5, 5]","[14012527, 11978238, 9793330, 14012527]"
"천장몰딩","11.0","1.0","0.0","{0=1}","[0]","[12952236]"
"메모판","55.0","6.0","1.17","{0=4, 3=1, 4=1}","[0, 0, 0, 0, 3, 4]","[15274607, 15274607, 15274607, 15274607, 10518768, 32512]"
"꼬꼬핀","51.0","6.0","3.33","{0=1, 1=1, 2=1, 4=1, 6=1, 7=1}","[4, 6, 0, 1, 7, 2]","[11571785, 11116186, 14023426, 15145769, 13976490, 457338]"
"압축선반","135.0","28.0","3.68","{0=5, 1=4, 2=2, 3=2, 4=2, 5=5, 6=4, 8=4}","[5, 4, 6, 4, 3, 6, 2, 6, 6, 5, 2, 0, 5, 8, 0, 8, 1, 1, 0, 0, 0, 1, 5, 8, 1, 5, 3, 8]","[11917623, 11451930, 14534749, 11451930, 13150605, 14534749, 14544989, 14534721, 14534749, 11917623, 14544989, 11917622, 11917623, 8497575, 11917622, 8497575, 14534750, 14534750, 11917622, 11917622, 11917622, 14534750, 11917623, 9185559, 14534750, 11917623, 13150605, 9185559]"
"수퍼싱글침대","54.0","9.0","3.56","{0=3, 1=1, 5=2, 6=1, 7=1, 8=1}","[7, 6, 0, 5, 8, 0, 5, 1, 0]","[36672, 5374940, 13877452, 4713163, 10447127, 13877452, 4713163, 14732803, 13877452]"
"토이스토리","45.0","11.0","4.18","{1=2, 2=1, 3=2, 4=1, 5=2, 7=2, 8=1}","[5, 3, 3, 7, 5, 4, 7, 1, 2, 1, 8]","[5161919, 11681370, 12423418, 5161919, 14192797, 14192797, 5161919, 3408438, 12423418, 3408438, 10651844]"
"거실 서랍장","13.0","1.0","0.0","{0=1}","[0]","[8435794]"
"렉선반","13.0","2.0","2.0","{0=1, 4=1}","[4, 0]","[4904082, 12276494]"
"캠핑식기","32.0","2.0","4.5","{3=1, 6=1}","[6, 3]","[14655731, 14034591]"
"청소년방","15.0","5.0","3.2","{0=1, 3=2, 4=1, 6=1}","[0, 3, 4, 3, 6]","[8137177, 7055487, 11744197, 7055487, 8137178]"
"라움 세븐트리","12.0","1.0","8.0","{8=1}","[8]","[10208488]"
"디퓨져리필","10.0","1.0","5.0","{5=1}","[5]","[8231691]"
"빨아쓰는규조토","20.0","1.0","0.0","{0=1}","[0]","[8538930]"
"커튼 레일","47.0","9.0","3.67","{0=3, 2=1, 4=1, 5=1, 7=2, 8=1}","[0, 4, 7, 2, 5, 0, 0, 8, 7]","[14434428, 12042499, 9919444, 5364645, 10340585, 14434428, 14434428, 13478560, 9919444]"
"사이잘룩 러그","152.0","13.0","3.54","{0=3, 2=1, 3=2, 4=2, 5=1, 6=3, 7=1}","[0, 6, 3, 0, 2, 3, 6, 6, 4, 7, 5, 4, 0]","[10316977, 11911566, 13162250, 10316977, 13162250, 11935072, 11911566, 9276383, 12812947, 11911566, 4153302, 9276383, 10316977]"
"아크릴 테이블","26.0","5.0","2.8","{0=2, 3=1, 4=1, 7=1}","[0, 0, 3, 4, 7]","[12570352, 12570352, 10289986, 11370137, 10289984]"
"가담다","24.0","1.0","5.0","{5=1}","[5]","[998882]"
"아트월","262.0","65.0","3.08","{0=15, 1=7, 2=8, 3=7, 4=10, 5=5, 6=4, 7=5, 8=4}","[4, 6, 3, 4, 0, 1, 1, 3, 0, 2, 3, 7, 1, 5, 4, 2, 7, 7, 6, 3, 6, 0, 5, 0, 4, 2, 8, 0, 4, 0, 4, 2, 1, 5, 1, 0, 2, 0, 0, 7, 0, 8, 3, 1, 8, 7, 8, 6, 5, 3, 4, 4, 3, 4, 0, 5, 0, 1, 0, 2, 4, 0, 0, 2, 2]","[4467029, 76545, 10268396, 3672517, 13909940, 13909940, 9312782, 11120371, 12050938, 9809241, 4467029, 76545, 9809241, 49898, 3672517, 9809241, 12798395, 57379, 5871454, 3672517, 76545, 13909940, 49898, 9312782, 14691673, 9809241, 57379, 13909940, 3672517, 9312782, 14691673, 10268396, 10268396, 49898, 9809241, 12050938, 9809241, 9809241, 9312782, 11983868, 9312782, 12798395, 10268396, 9312782, 5871454, 12798395, 11494995, 12798395, 4467029, 11120371, 49898, 49898, 3672517, 4467029, 13909940, 3672517, 9809241, 9809241, 12050938, 10268396, 3672517, 12050938, 9312782, 9809241, 9809241]"
"슬라이딩옷장","494.0","50.0","2.6","{0=12, 1=9, 2=9, 3=2, 4=7, 5=4, 6=3, 7=1, 8=3}","[1, 2, 2, 4, 1, 4, 5, 0, 1, 0, 2, 3, 0, 8, 8, 1, 0, 0, 1, 0, 2, 0, 7, 5, 0, 3, 2, 4, 1, 5, 4, 2, 1, 4, 6, 2, 6, 2, 4, 6, 0, 2, 4, 0, 0, 1, 8, 5, 0, 1]","[14256142, 5600426, 14443247, 5600426, 14443247, 14280720, 8789809, 14453717, 14256142, 14453717, 5600426, 5600426, 14453717, 14443246, 14443246, 14420241, 14453717, 14453717, 5600426, 14453717, 5600426, 14453717, 9781221, 11664956, 14453717, 5600426, 14272269, 5600426, 14443247, 8789809, 14600049, 14420241, 5600426, 5600426, 9781221, 14272269, 14600372, 5600426, 5600426, 12463407, 14453717, 14272269, 5600426, 14453717, 14453717, 14256142, 12463407, 8789809, 14453717, 14256142]"
"1200 서랍장","10.0","1.0","4.0","{4=1}","[4]","[7416483]"
"칵테일바","10.0","1.0","0.0","{0=1}","[0]","[11213596]"
"예쁜그릇","33.0","8.0","2.75","{0=1, 1=1, 2=3, 4=2, 7=1}","[4, 1, 2, 4, 2, 7, 2, 0]","[12070732, 13612555, 13905769, 12070732, 9531920, 11399661, 9531920, 14632583]"
"대나무찜기","12.0","2.0","1.0","{1=2}","[1, 1]","[5338304, 5338304]"
"신혼","133.0","8.0","0.63","{0=5, 1=1, 2=2}","[0, 0, 0, 2, 1, 2, 0, 0]","[14949821, 14949821, 14949821, 14381346, 14949818, 14381346, 14949821, 14949821]"
"리바트리프트업","11.0","1.0","5.0","{5=1}","[5]","[4653978]"
"오븐렉","15.0","2.0","1.0","{1=2}","[1, 1]","[13592694, 13592694]"
"보관용기","19.0","1.0","1.0","{1=1}","[1]","[10956224]"
"저상형 프레임","211.0","15.0","4.2","{0=1, 1=1, 2=2, 4=3, 5=3, 6=4, 7=1}","[5, 7, 4, 2, 4, 6, 5, 1, 5, 6, 0, 2, 6, 4, 6]","[9025232, 14600472, 9025232, 12323334, 3428957, 14387016, 8709660, 12323334, 9025232, 14387016, 10383218, 12323334, 14387016, 9025232, 14387016]"
"800 테이블","12.0","3.0","2.67","{1=1, 3=1, 4=1}","[4, 3, 1]","[14388998, 15165585, 8608913]"
"싱크랙","40.0","2.0","1.0","{0=1, 2=1}","[2, 0]","[14170978, 13325195]"
"옷헹거","16.0","1.0","1.0","{1=1}","[1]","[10224495]"
"빈티지커튼","76.0","11.0","3.64","{0=1, 1=2, 2=1, 4=3, 5=1, 6=2, 7=1}","[4, 6, 7, 5, 6, 1, 2, 4, 0, 4, 1]","[7138526, 13372023, 14635484, 13813758, 5122939, 12653237, 13334277, 10559774, 12653237, 7138526, 12653237]"
"미니어처","50.0","4.0","5.0","{3=1, 5=1, 6=2}","[6, 5, 6, 3]","[9526716, 7861036, 9526716, 13217296]"
"꼭꼬핀","432.0","27.0","2.7","{0=9, 1=3, 2=4, 3=1, 4=4, 6=1, 7=3, 8=2}","[3, 6, 1, 0, 0, 0, 8, 8, 0, 0, 2, 2, 4, 4, 4, 1, 7, 0, 0, 7, 2, 0, 1, 7, 4, 0, 2]","[11098130, 10532340, 9076378, 12870490, 9076378, 12870490, 5826279, 5826279, 9076378, 12870490, 10351688, 10351688, 14904731, 14904731, 14904731, 9076378, 11351466, 12870490, 12870490, 11351466, 11098130, 12870490, 9076378, 10558988, 11351463, 12870490, 10351688]"
"언더베드","135.0","21.0","2.71","{0=2, 1=10, 3=2, 5=3, 6=3, 8=1}","[0, 1, 1, 6, 1, 1, 1, 5, 5, 6, 0, 8, 3, 5, 1, 1, 1, 3, 6, 1, 1]","[12274077, 13541015, 13541015, 4014984, 13541015, 13541015, 13541015, 13375735, 13375735, 4014984, 12274077, 13375735, 13777481, 13375735, 13541015, 13541015, 13541015, 13777481, 13375735, 13541015, 13541015]"
"고양이 문","10.0","1.0","8.0","{8=1}","[8]","[693264]"
"비아인키노","30.0","6.0","2.5","{0=2, 1=2, 5=1, 8=1}","[5, 1, 1, 0, 0, 8]","[10959837, 12345306, 12345306, 13923419, 13923419, 14162910]"
"숲소리","12.0","1.0","3.0","{3=1}","[3]","[11778525]"
"겐차야자","12.0","4.0","0.75","{0=3, 3=1}","[0, 0, 0, 3]","[11806219, 11806219, 11806219, 14642448]"
"과일트레이","17.0","1.0","1.0","{1=1}","[1]","[10500728]"
