"search_keyword","qc","card_cc","avg_object_idx","click_ranking","object_idx_list","object_id_list"
"5단","12.0","3.0","1.67","{0=1, 1=1, 4=1}","[0, 1, 4]","[14827944, 12974768, 10766799]"
"전화기","93.0","14.0","2.86","{0=6, 1=1, 3=1, 4=1, 5=1, 6=2, 7=1, 8=1}","[3, 5, 6, 0, 0, 4, 6, 0, 0, 0, 8, 7, 0, 1]","[10855974, 9037383, 9032245, 12693073, 12693073, 9037383, 9032245, 12693073, 12693073, 12693073, 11874390, 12693072, 12693073, 10855967]"
"밧드","71.0","9.0","4.11","{0=2, 1=1, 3=1, 5=1, 6=1, 7=2, 8=1}","[7, 5, 7, 8, 1, 0, 0, 3, 6]","[8350937, 14503273, 8350937, 11362299, 11854382, 15340652, 9626810, 12120872, 15004775]"
"방석","3216.0","63.0","3.4","{0=18, 1=4, 2=5, 3=6, 4=7, 5=7, 6=4, 7=1, 8=11}","[0, 8, 0, 5, 4, 8, 0, 5, 6, 0, 2, 0, 0, 5, 3, 3, 0, 0, 8, 2, 2, 3, 4, 1, 0, 8, 8, 8, 7, 2, 3, 8, 0, 5, 8, 0, 8, 5, 1, 1, 8, 5, 0, 5, 4, 6, 6, 3, 3, 0, 4, 0, 4, 2, 0, 6, 4, 0, 0, 8, 4, 1, 0]","[11569119, 11279731, 11569119, 13682007, 14740862, 14919036, 11569119, 13682007, 14740862, 11569119, 11227368, 11569119, 11569119, 14740862, 3340675, 3340675, 11569119, 11569119, 14919036, 11227368, 11227368, 3340675, 14740862, 14150509, 11569119, 14919036, 14919036, 14919036, 11136497, 4556248, 3340675, 11279731, 11569119, 13682007, 11279731, 11569119, 14919036, 13682007, 11569119, 11569119, 12487354, 13682007, 13147941, 13682007, 21880, 14740862, 12487354, 4556248, 4556248, 11569119, 14740862, 11569119, 14740862, 14150509, 11569119, 3340675, 14740862, 11569119, 11569119, 14919036, 14740862, 11569119, 11569119]"
"프로젝터","156.0","19.0","1.58","{0=10, 1=3, 2=2, 5=3, 8=1}","[0, 2, 0, 5, 1, 2, 0, 1, 0, 1, 0, 5, 0, 0, 5, 8, 0, 0, 0]","[14437110, 10686724, 14437110, 12013441, 13838969, 10686724, 14437110, 13838969, 14437110, 13838969, 14437110, 12013441, 14437110, 14437110, 12013441, 13739894, 14437110, 14437110, 14437110]"
"가열식가습기","65.0","6.0","3.17","{1=2, 2=2, 6=1, 7=1}","[7, 1, 1, 2, 2, 6]","[14071774, 13927218, 13927218, 13928007, 13928007, 7208536]"
"반원식탁","78.0","14.0","4.36","{0=3, 2=1, 3=1, 4=2, 6=3, 7=2, 8=2}","[7, 0, 0, 7, 8, 3, 2, 6, 8, 4, 6, 4, 0, 6]","[11015826, 7982094, 7982094, 11015826, 13567407, 12755470, 6204575, 12514077, 13567407, 13011465, 12514077, 13011465, 7982094, 12514077]"
"시뮬레이션","57.0","2.0","2.0","{0=1, 4=1}","[0, 4]","[12322808, 1496443]"
"벽스티커","22.0","4.0","3.0","{0=1, 2=1, 3=1, 7=1}","[3, 2, 7, 0]","[13365915, 11372, 14225432, 10025]"
"거실 슬리퍼","43.0","1.0","2.0","{2=1}","[2]","[12703751]"
"양초","83.0","3.0","5.0","{2=1, 6=1, 7=1}","[6, 7, 2]","[11935398, 13919311, 12023992]"
"욕실의자","137.0","19.0","2.63","{0=5, 1=2, 2=5, 4=1, 5=3, 6=2, 7=1}","[0, 0, 1, 7, 2, 2, 5, 0, 5, 2, 2, 6, 6, 2, 0, 0, 4, 1, 5]","[13562165, 13562165, 13655951, 12508801, 13655951, 13655951, 11880352, 13562165, 11880352, 13655951, 13655951, 13606680, 13606680, 14341488, 13562165, 13562165, 11880352, 14341488, 11880352]"
"인덕션가림막","37.0","16.0","2.94","{0=3, 1=2, 2=4, 3=1, 4=2, 5=1, 6=1, 7=1, 8=1}","[1, 0, 8, 4, 0, 2, 0, 3, 7, 1, 2, 6, 2, 4, 2, 5]","[6274382, 14544891, 15213606, 11414429, 14544891, 12531735, 14544891, 12538976, 11414429, 6274382, 12531735, 10374617, 12531735, 11414429, 12531735, 10549917]"
"스타벅스 텀블러","33.0","1.0","0.0","{0=1}","[0]","[15135052]"
"히노끼","20.0","5.0","5.0","{1=1, 2=1, 6=1, 8=2}","[1, 6, 2, 8, 8]","[11740359, 13569321, 9060498, 815158, 815158]"
"디시디아","25.0","7.0","2.71","{0=2, 1=1, 2=1, 3=1, 5=1, 8=1}","[8, 1, 2, 3, 0, 5, 0]","[9363433, 12553543, 10936895, 9328415, 5837547, 10269816, 5837547]"
"액자선반","44.0","13.0","3.31","{0=4, 2=2, 3=1, 4=2, 6=1, 7=2, 8=1}","[0, 0, 3, 4, 8, 2, 4, 7, 7, 0, 0, 2, 6]","[10351688, 10351688, 4469639, 4469639, 14511193, 8566536, 4469639, 4130689, 14511193, 10351688, 10351688, 8566536, 3640895]"
"긴테이블","87.0","13.0","4.38","{0=1, 4=3, 5=9}","[5, 5, 4, 5, 4, 5, 5, 5, 0, 4, 5, 5, 5]","[2972286, 2972286, 14093510, 2972286, 14093510, 11724431, 2972286, 11724431, 2351568, 14093510, 2972286, 2972286, 2972286]"
"코너옷장","33.0","6.0","1.83","{0=2, 1=3, 8=1}","[1, 0, 0, 1, 8, 1]","[7922244, 13176484, 13176484, 7922244, 4557789, 7922244]"
"거실분리","16.0","1.0","0.0","{0=1}","[0]","[15198105]"
"선셋조명","250.0","47.0","3.3","{0=16, 1=1, 2=5, 3=4, 4=3, 5=4, 6=3, 7=6, 8=5}","[8, 4, 5, 8, 7, 0, 3, 0, 0, 2, 7, 8, 0, 5, 0, 5, 2, 6, 0, 4, 1, 6, 8, 0, 0, 2, 0, 0, 6, 2, 0, 3, 0, 4, 2, 0, 7, 7, 3, 5, 8, 7, 0, 3, 0, 7, 0]","[11209046, 13370931, 10599710, 14205678, 14205678, 9545152, 11668929, 9545152, 12031716, 10164030, 13192086, 11209046, 9545152, 10599710, 9545152, 10599710, 10164030, 13098867, 12031716, 11668929, 10959785, 13192086, 14205678, 9545152, 9545152, 10164030, 12031716, 12031716, 13098867, 10164030, 9545152, 11668929, 9545152, 10164030, 10164030, 9545152, 13192086, 14205678, 10164030, 10599710, 11209046, 14205678, 12031716, 10164030, 9545152, 14205678, 12031716]"
"페브릭달력","12.0","2.0","4.0","{4=2}","[4, 4]","[14197244, 14197244]"
"에스프레소잔","283.0","10.0","4.1","{0=1, 2=1, 4=1, 5=7}","[4, 2, 5, 5, 5, 5, 5, 5, 5, 0]","[13060487, 10069150, 12471815, 12471815, 12471815, 12471815, 12471815, 12471815, 12471815, 5641477]"
"1200서랍장","22.0","1.0","1.0","{1=1}","[1]","[9975171]"
