"search_keyword","qc","cc","ctr"
"바스켓","29","13","44.827586206896555"
"좌식 테이블","67","21","31.34328358208955"
"#플랜테리어","20","14","70.0"
"방수 식탁보","11","4","36.36363636363637"
"한샘책장","23","12","52.17391304347826"
"아치형가벽","26","16","61.53846153846154"
"다리미","63","12","19.047619047619047"
"블라인드 암막","14","10","71.42857142857143"
"9mm문선","12","8","66.66666666666667"
"여름","25","12","48.0"
"극락조","25","17","68.0"
"쁘띠메종","11","9","81.81818181818181"
"몬타나","10","8","80.0"
"지갑","11","3","27.272727272727273"
"철판","13","4","30.76923076923077"
"봉","10","0","0.0"
"요거트메이커","19","7","36.8421052631579"
"플랜트란스","43","27","62.7906976744186"
"이케아 옷장","13","9","69.23076923076923"
"컴퓨터","174","119","68.39080459770115"
"수건수납장","22","12","54.54545454545455"
"베란다 타일","38","25","65.78947368421052"
"옷방","247","188","76.11336032388664"
"리빙다이닝","176","127","72.1590909090909"
"스텝퍼","12","6","50.0"
"비믹스","12","6","50.0"
"펀잇쳐스","10","9","90.0"
"돗자리","35","11","31.428571428571427"
"원목 행거","11","6","54.54545454545455"
"까사미아","85","32","37.64705882352941"
"접시","275","104","37.81818181818182"
"컵걸이","95","40","42.10526315789474"
"지누스매트리스","30","6","20.0"
"툇마루","13","6","46.15384615384615"
"밥솥다이","10","4","40.0"
"철제의자","14","8","57.142857142857146"
"스탠드 조명","75","32","42.666666666666664"
"노랑이불","10","9","90.0"
"원룸 커튼","10","4","40.0"
"책상 정리함","10","5","50.0"
"조화나무","74","28","37.83783783783784"
"아이르","10","3","30.0"
"화장실쓰레기통","12","9","75.0"
"세탁기선반","57","37","64.91228070175438"
"약정리함","14","8","57.142857142857146"
"서재방인테리어","10","7","70.0"
"벽지시트지","30","6","20.0"
"상","37","4","10.81081081081081"
"건식욕실","28","22","78.57142857142857"
"좌식화장대","95","44","46.31578947368421"
"수저꽂이","17","9","52.94117647058823"
"원룸 러그","10","9","90.0"
"도서관","10","4","40.0"
"조립식타일","12","8","66.66666666666667"
"공부책상","37","23","62.16216216216216"
"레몬나무","16","5","31.25"
"거실붙박이장","16","15","93.75"
"부엌커튼","16","12","75.0"
"연필꽂이","117","61","52.136752136752136"
"드라이기 수납","19","11","57.89473684210526"
"밥솥선반","51","26","50.98039215686274"
"거울샷","12","4","33.333333333333336"
"휴플로어","11","7","63.63636363636363"
"침대 옆","13","7","53.84615384615385"
"실내 슬리퍼","15","8","53.333333333333336"
"호텔 수건","10","2","20.0"
"다락방꾸미기","25","20","80.0"
"재봉틀","15","11","73.33333333333333"
"빌드웰러","10","9","90.0"
"사이드보드","22","15","68.18181818181819"
"거울","1228","472","38.43648208469055"
"루나랩","16","6","37.5"
"팬트리정리","18","14","77.77777777777777"
"세탁기건조기세트","13","2","15.384615384615385"
"바지정리","23","11","47.82608695652174"
"가방걸이","116","46","39.6551724137931"
"맘마존","94","72","76.59574468085107"
"아스파라거스","12","8","66.66666666666667"
"브리저튼","17","12","70.58823529411765"
"좁은주방인테리어","10","7","70.0"
"가방정리함","23","11","47.82608695652174"
"깔끔대장","11","1","9.090909090909092"
"29형","11","9","81.81818181818181"
"멜팅스튜디오","19","6","31.57894736842105"
"보라","38","33","86.84210526315789"
"자바라","12","4","33.333333333333336"
"종지","12","5","41.666666666666664"
"essential","14","8","57.142857142857146"
"캠프닉빌리지","38","35","92.10526315789474"
"커피머신기","24","12","50.0"
"정리함","148","36","24.324324324324323"
"안방조명","44","42","95.45454545454545"
"의자다리커버","24","11","45.833333333333336"
"침대수납","15","6","40.0"
"가방정리대","15","12","80.0"
"원목옷장","11","6","54.54545454545455"
"씽크대정리","24","19","79.16666666666667"
"집들이상","17","10","58.8235294117647"
"수유의자","60","29","48.333333333333336"
"슬라이딩리빙박스","14","4","28.571428571428573"
"광주요","10","5","50.0"
"작은거실","27","24","88.88888888888889"
"캄포클래식","11","10","90.9090909090909"
"임스체어","45","26","57.77777777777778"
"수유등","33","22","66.66666666666667"
"자개장리폼","36","23","63.888888888888886"
"라움","16","5","31.25"
"칫솔통","11","5","45.45454545454545"
"양말정리함","25","11","44.0"
"8인용테이블","14","10","71.42857142857143"
"#홈스타일링","17","8","47.05882352941177"
"퀵슬립","32","9","28.125"
"화장실휴지통","41","21","51.21951219512195"
"곱슬버들","12","9","75.0"
"체크","25","10","40.0"
"3평방","44","37","84.0909090909091"
"캡슐커피머신","17","7","41.1764705882353"
"레고정리함","11","9","81.81818181818181"
"네온사인","39","22","56.41025641025641"
"조리대","33","14","42.42424242424242"
"바이리네","22","18","81.81818181818181"
"유리식탁","10","4","40.0"
"벽지","333","152","45.645645645645644"
"발매트러그","31","17","54.83870967741935"
"대문","24","16","66.66666666666667"
"신생아침대","11","8","72.72727272727273"
"카운터","32","11","34.375"
"볼","13","4","30.76923076923077"
"메이크가구","11","7","63.63636363636363"
"사각접시","11","7","63.63636363636363"
"현관 타일","34","26","76.47058823529412"
"스마일러그","20","11","55.0"
"침대꾸미기","11","3","27.272727272727273"
"아이화장대","10","7","70.0"
"6인식탁세트","20","16","80.0"
"공주침대","29","16","55.172413793103445"
"대야","13","8","61.53846153846154"
"스메그","25","17","68.0"
"2층벙커침대","21","12","57.142857142857146"
"맥시멀","15","12","80.0"
"칫솔꽂이","214","107","50.0"
"오늘읮ㅂ","10","1","10.0"
"우드 화이트","10","8","80.0"
"정사각형방","47","36","76.59574468085107"
"휴지케이스","173","56","32.369942196531795"
"벽걸이에어컨커버","11","5","45.45454545454545"
"커먼테이블","10","6","60.0"
"컬러","10","9","90.0"
"Usm","44","34","77.27272727272727"
"주방러그","32","19","59.375"
"#화이트인테리어","34","24","70.58823529411765"
"욕실 정리","11","9","81.81818181818181"
"공방","30","23","76.66666666666667"
"스타벅스캡슐","13","1","7.6923076923076925"
"전선몰딩","12","7","58.333333333333336"
"컬러풀","15","11","73.33333333333333"
"쉬폰커튼","149","52","34.899328859060404"
"가로책장","10","5","50.0"
"동양","12","7","58.333333333333336"
"아이놀이방","17","11","64.70588235294117"
"베르판","14","12","85.71428571428571"
"초록","42","29","69.04761904761905"
"불멍","59","17","28.8135593220339"
"작은방인테리어","29","18","62.06896551724138"
"34평거실","11","5","45.45454545454545"
"복층인테리어","63","47","74.60317460317461"
"높은침대","29","18","62.06896551724138"
"두닷 콰트로 에어","18","9","50.0"
"ㄱ자 주방","19","11","57.89473684210526"
"픽스창","12","6","50.0"
"아이방매트","10","9","90.0"
"전구조명","11","3","27.272727272727273"
"동양풍","12","7","58.333333333333336"
"그릇장","186","128","68.81720430107526"
"주방매트pvc","30","20","66.66666666666667"
"알전구","36","22","61.111111111111114"
"아키로","11","10","90.9090909090909"
"공간 분리","15","11","73.33333333333333"
"콩자갈","10","6","60.0"
"벽걸이수납","15","6","40.0"
"책장정리","16","12","75.0"
"침대이불","13","6","46.15384615384615"
"사이드협탁","45","22","48.888888888888886"
"책상서랍장","35","9","25.714285714285715"
"선정리함","10","2","20.0"
"몽키우드","26","23","88.46153846153847"
"앞치마","227","99","43.61233480176212"
"캔버스","11","7","63.63636363636363"
"욕실청소","42","18","42.857142857142854"
"건조기","245","53","21.632653061224488"
"2층 침대","16","8","50.0"
"폴인퍼니","17","12","70.58823529411765"
"현관시트지","11","8","72.72727272727273"
"가족침대","13","10","76.92307692307692"
"꽃화분","13","5","38.46153846153846"
"나무뜰","10","0","0.0"
"호텔침대프레임","17","11","64.70588235294117"
"쿠쿠압력밥솥","24","4","16.666666666666668"
"수도꼭지","24","2","8.333333333333334"
"티테이블세트","46","28","60.869565217391305"
"공부 스탠드","10","3","30.0"
"가림막천","32","18","56.25"
"식탁방석","14","6","42.857142857142854"
"오로라상판","14","8","57.142857142857146"
"북스탠드","18","6","33.333333333333336"
"골드수전","10","10","100.0"
"거실중문","11","8","72.72727272727273"
"아이닉에어프라이어","19","4","21.05263157894737"
"먼데이하우스","50","6","12.0"
"바나나걸이","15","10","66.66666666666667"
"테르티알","11","7","63.63636363636363"
"게임룸","32","23","71.875"
"거울조명","12","6","50.0"
"소형냉장고","45","24","53.333333333333336"
"신발정리","46","32","69.56521739130434"
"토퍼커버","28","10","35.714285714285715"
"아기가있는집","12","10","83.33333333333333"
"스마트","11","2","18.181818181818183"
"라면포트","14","4","28.571428571428573"
"독서실책상","108","56","51.851851851851855"
"오하우스시즌6","179","108","60.33519553072626"
"LP수납장","13","7","53.84615384615385"
"트라이앵글","14","6","42.857142857142854"
"파티션","870","395","45.40229885057471"
"화장실슬리퍼","49","28","57.142857142857146"
"이젤티비","10","8","80.0"
"원터치휴지통","20","11","55.0"
"배게커버","43","14","32.55813953488372"
"거실의자","17","12","70.58823529411765"
"800옷장","10","4","40.0"
"미니투룸","22","21","95.45454545454545"
"6인식탁","38","18","47.36842105263158"
"브런치","21","15","71.42857142857143"
"화장품트레이","37","24","64.86486486486487"
"농막","26","23","88.46153846153847"
"사이버펑크","57","32","56.14035087719298"
"미니오븐","21","8","38.095238095238095"
"주방타일","172","145","84.30232558139535"
"소스볼","25","9","36.0"
"우드주방","26","19","73.07692307692308"
"이케아 러그","10","5","50.0"
"고등학생","13","10","76.92307692307692"
"샤워필터","11","2","18.181818181818183"
"미니쇼파","48","16","33.333333333333336"
"좌식거실","16","10","62.5"
"씽크대시트지","27","21","77.77777777777777"
"쇼케이스","16","11","68.75"
"렌지선반","15","7","46.666666666666664"
"돌체구스토","26","11","42.30769230769231"
"32평거실인테리어","20","13","65.0"
"진열","10","4","40.0"
"1인 소파","100","55","55.0"
"거실카페트","76","45","59.21052631578947"
"베란다 ","16","14","87.5"
"여름이불","102","42","41.1764705882353"
"거실 서재화","15","14","93.33333333333333"
"침대 매트리스","20","8","40.0"
"거실 식탁","43","32","74.4186046511628"
"카페테이블","80","38","47.5"
"Lp","34","21","61.76470588235294"
"옷방꾸미기","23","16","69.56521739130434"
"쌀통10kg","21","12","57.142857142857146"
"라탄수납장","91","45","49.45054945054945"
"벽난로콘솔","163","101","61.96319018404908"
"사무실인테리어","50","28","56.0"
"오브제컬렉션","15","10","66.66666666666667"
"주방리모델링","27","20","74.07407407407408"
"키덜트","30","26","86.66666666666667"
"책상 시트지","11","6","54.54545454545455"
"복층 커튼","17","15","88.23529411764706"
"인조식물","13","8","61.53846153846154"
"라탄침대","13","9","69.23076923076923"
"매트리스 프레임","11","2","18.181818181818183"
"14평","13","7","53.84615384615385"
"칼","76","17","22.36842105263158"
"현관콘솔","17","14","82.3529411764706"
"삼성에어컨","17","8","47.05882352941177"
"청소솔","18","9","50.0"
"홈술","51","20","39.21568627450981"
"악세사리 보관함","42","24","57.142857142857146"
"한샘샘키즈","23","16","69.56521739130434"
"작은방붙박이장","17","11","64.70588235294117"
"구이바다","22","9","40.90909090909091"
"쉬폰포스터","23","11","47.82608695652174"
"집들이선물","98","33","33.673469387755105"
"레이스천","27","16","59.25925925925926"
"다도세트","14","9","64.28571428571429"
"멀티쿠커","20","3","15.0"
"흰색침구","12","2","16.666666666666668"
"수저트레이","11","7","63.63636363636363"
"더치커피","10","1","10.0"
"시골집","67","33","49.25373134328358"
"티슈 케이스","12","7","58.333333333333336"
"미니수납장","60","34","56.666666666666664"
"샌드그레이","14","9","64.28571428571429"
"5단선반","15","8","53.333333333333336"
"작은방옷장","30","19","63.333333333333336"
"그라탕기","11","4","36.36363636363637"
"라디에이터","10","3","30.0"
"베란다잔디","14","11","78.57142857142857"
"바란스","21","10","47.61904761904762"
"전기밥솥","33","10","30.303030303030305"
"룸스프레이","16","4","25.0"
"앵두전구","23","11","47.82608695652174"
"25평","26","22","84.61538461538461"
"키링","12","3","25.0"
"파스타볼","46","12","26.08695652173913"
"펜트리","161","116","72.04968944099379"
"시디즈 t50","11","6","54.54545454545455"
"거실테이블1600","14","5","35.714285714285715"
"마그넷보드","10","8","80.0"
"옷걸이헹거","10","6","60.0"
"페인트","140","64","45.714285714285715"
"화분","785","291","37.07006369426752"
"호텔","68","47","69.11764705882354"
"어항","107","75","70.09345794392523"
"이동식 행거","13","3","23.076923076923077"
"무선충전기","28","10","35.714285714285715"
"카페트","807","332","41.14002478314746"
"디저트접시","29","19","65.51724137931035"
"코너선반","84","34","40.476190476190474"
"공방인테리어","23","17","73.91304347826087"
"책정리","40","20","50.0"
"슬림신발장","10","6","60.0"
"화장대조명","42","24","57.142857142857146"
"욕실 거울","14","12","85.71428571428571"
"콘센트 가리개","32","18","56.25"
"무선선풍기","10","2","20.0"
"브레드박스","52","34","65.38461538461539"
"티비","175","84","48.0"
"거실수납","24","9","37.5"
"냉장고자리","19","13","68.42105263157895"
"서랍행거","13","6","46.15384615384615"
"스위치커버","30","12","40.0"
"드라이기 거치대","58","21","36.206896551724135"
"티슈커버","20","9","45.0"
"조립마루","16","13","81.25"
"토이스토리","18","12","66.66666666666667"
"화장품 정리함","12","6","50.0"
"인테리어쇼","40","15","37.5"
"좁은주방","120","93","77.5"
"배전함가리개","16","14","87.5"
"소파 테이블","52","30","57.69230769230769"
"윈도우시트","88","71","80.68181818181819"
"베이비장","38","34","89.47368421052632"
"나무테이블","12","6","50.0"
"패브릭포스터","674","272","40.35608308605341"
"데스크셋업","63","50","79.36507936507937"
"주방도구걸이","15","12","80.0"
"페브릭커튼","11","6","54.54545454545455"
"일인용쇼파","22","5","22.727272727272727"
"이씨라메종","15","11","73.33333333333333"
"8평원룸","24","20","83.33333333333333"
"diy","11","3","27.272727272727273"
"탄성코트","10","9","90.0"
"중학생방","179","140","78.2122905027933"
"플레이팅","13","8","61.53846153846154"
"화장대정리","130","87","66.92307692307692"
"우드블라인드","114","81","71.05263157894737"
"포인트 러그","11","7","63.63636363636363"
"탁자","136","36","26.470588235294116"
"포스터커튼","10","6","60.0"
"커피컵","11","1","9.090909090909092"
"명상","11","6","54.54545454545455"
"코지테이블","11","2","18.181818181818183"
"인센스홀더","113","52","46.017699115044245"
"화실","15","10","66.66666666666667"
"화장대트레이","10","6","60.0"
"피팅룸","14","8","57.142857142857146"
"수성바스","24","15","62.5"
"빌티니","22","18","81.81818181818181"
"유리블럭","38","26","68.42105263157895"
"접시꽂이","42","18","42.857142857142854"
"렉슨미나","12","7","58.333333333333336"
" ","19","6","31.57894736842105"
"선반가리개","26","16","61.53846153846154"
"보조주방","55","42","76.36363636363636"
"행주건조대","19","15","78.94736842105263"
"지누스 프레임","12","4","33.333333333333336"
"웰퍼니쳐","10","4","40.0"
"르크루제","26","5","19.23076923076923"
"쥬다르","17","11","64.70588235294117"
"모듈","380","178","46.8421052631579"
"독서의자","19","15","78.94736842105263"
"도마걸이","17","6","35.294117647058826"
"식기건조대","512","273","53.3203125"
"냉장고자석","24","10","41.666666666666664"
"덴비머그컵","10","0","0.0"
"킹사이즈침대","24","12","50.0"
"차르르커튼","34","20","58.8235294117647"
"고양이화장실","50","34","68.0"
"문걸이 거울","11","5","45.45454545454545"
"광파오븐수납장","13","9","69.23076923076923"
"알루미늄블라인드","22","18","81.81818181818181"
"카페소파","10","6","60.0"
"주방등","72","37","51.388888888888886"
"수납거울","16","4","25.0"
"미니행거","47","22","46.808510638297875"
"디자인벤처스","13","9","69.23076923076923"
"북카페거실","17","15","88.23529411764706"
"레이스매트","10","6","60.0"
"보조배터리","15","6","40.0"
"베란다방","11","7","63.63636363636363"
"주방 시트지","14","11","78.57142857142857"
"주방겸거실","16","14","87.5"
"커플pc","14","14","100.0"
"나투스진그란데","12","12","100.0"
"변기솔","39","18","46.15384615384615"
"방음재","22","7","31.818181818181817"
"랙선반","10","3","30.0"
"밥솥","186","67","36.02150537634409"
"빌보","12","9","75.0"
"싱크볼","30","22","73.33333333333333"
"마켓비수납장","23","9","39.130434782608695"
"꽃액자","10","4","40.0"
"회전트레이","22","7","31.818181818181817"
"야외의자","18","9","50.0"
"피부관리실","11","8","72.72727272727273"
"월넛 협탁","10","8","80.0"
"방묘문","23","7","30.434782608695652"
"베개","223","39","17.48878923766816"
