search_keyword,qc,cc,ctr
가방정리대,15,12,80.0
원목옷장,11,6,54.54545454545460
씽크대정리,24,19,79.16666666666670
집들이상,17,10,58.8235294117647
수유의자,60,29,48.333333333333300
슬라이딩리빙박스,14,4,28.571428571428600
작은거실,27,24,88.88888888888890
캄포클래식,11,10,90.9090909090909
임스체어,45,26,57.77777777777780
자개장리폼,36,23,63.888888888888900
칫솔통,11,5,45.45454545454550
양말정리함,25,11,44.0
8인용테이블,14,10,71.42857142857140
#홈스타일링,17,8,47.05882352941180
퀵슬립,32,9,28.125
화장실휴지통,41,21,51.21951219512200
곱슬버들,12,9,75.0
3평방,44,37,84.0909090909091
캡슐커피머신,17,7,41.1764705882353
레고정리함,11,9,81.81818181818180
유리식탁,10,4,40.0
발매트러그,31,17,54.83870967741940
신생아침대,11,8,72.72727272727270
메이크가구,11,7,63.63636363636360
사각접시,11,7,63.63636363636360
현관 타일,34,26,76.47058823529410
스마일러그,20,11,55.0
침대꾸미기,11,3,27.272727272727300
아이화장대,10,7,70.0
6인식탁세트,20,16,80.0
공주침대,29,16,55.172413793103400
2층벙커침대,21,12,57.142857142857100
칫솔꽂이,214,107,50.0
오늘읮ㅂ,10,1,10.0
우드 화이트,10,8,80.0
정사각형방,47,36,76.59574468085110
휴지케이스,173,56,32.369942196531800
벽걸이에어컨커버,11,5,45.45454545454550
Usm,44,34,77.27272727272730
주방러그,32,19,59.375
#화이트인테리어,34,24,70.58823529411770
욕실 정리,11,9,81.81818181818180
스타벅스캡슐,13,1,7.6923076923076900
전선몰딩,12,7,58.333333333333300
쉬폰커튼,149,52,34.899328859060400
가로책장,10,5,50.0
아이놀이방,17,11,64.70588235294120
불멍,59,17,28.8135593220339
작은방인테리어,29,18,62.06896551724140
34평거실,11,5,45.45454545454550
복층인테리어,63,47,74.60317460317460
높은침대,29,18,62.06896551724140
두닷 콰트로 에어,18,9,50.0
ㄱ자 주방,19,11,57.89473684210530
아이방매트,10,9,90.0
전구조명,11,3,27.272727272727300
동양풍,12,7,58.333333333333300
주방매트pvc,30,20,66.66666666666670
알전구,36,22,61.11111111111110
공간 분리,15,11,73.33333333333330
콩자갈,10,6,60.0
벽걸이수납,15,6,40.0
책장정리,16,12,75.0
침대이불,13,6,46.15384615384620
사이드협탁,45,22,48.888888888888900
책상서랍장,35,9,25.714285714285700
선정리함,10,2,20.0
앞치마,227,99,43.61233480176210
욕실청소,42,18,42.85714285714290
2층 침대,16,8,50.0
현관시트지,11,8,72.72727272727270
가족침대,13,10,76.92307692307690
꽃화분,13,5,38.46153846153850
호텔침대프레임,17,11,64.70588235294120
쿠쿠압력밥솥,24,4,16.666666666666700
티테이블세트,46,28,60.869565217391300
공부 스탠드,10,3,30.0
가림막천,32,18,56.25
식탁방석,14,6,42.85714285714290
오로라상판,14,8,57.142857142857100
북스탠드,18,6,33.333333333333300
골드수전,10,10,100.0
거실중문,11,8,72.72727272727270
아이닉에어프라이어,19,4,21.05263157894740
게임룸,32,23,71.875
거울조명,12,6,50.0
소형냉장고,45,24,53.333333333333300
신발정리,46,32,69.56521739130430
토퍼커버,28,10,35.714285714285700
아기가있는집,12,10,83.33333333333330
라면포트,14,4,28.571428571428600
독서실책상,108,56,51.851851851851900
오하우스시즌6,179,108,60.33519553072630
LP수납장,13,7,53.84615384615390
화장실슬리퍼,49,28,57.142857142857100
이젤티비,10,8,80.0
원터치휴지통,20,11,55.0
배게커버,43,14,32.55813953488370
거실의자,17,12,70.58823529411770
800옷장,10,4,40.0
미니투룸,22,21,95.45454545454540
6인식탁,38,18,47.36842105263160
브런치,21,15,71.42857142857140
화장품트레이,37,24,64.86486486486490
사이버펑크,57,32,56.14035087719300
미니오븐,21,8,38.095238095238100
주방타일,172,145,84.30232558139540
우드주방,26,19,73.07692307692310
이케아 러그,10,5,50.0
고등학생,13,10,76.92307692307690
샤워필터,11,2,18.181818181818200
미니쇼파,48,16,33.333333333333300
좌식거실,16,10,62.5
씽크대시트지,27,21,77.77777777777780
렌지선반,15,7,46.66666666666670
32평거실인테리어,20,13,65.0
1인 소파,100,55,55.0
거실카페트,76,45,59.21052631578950
베란다 ,16,14,87.5
여름이불,102,42,41.1764705882353
거실 서재화,15,14,93.33333333333330
침대 매트리스,20,8,40.0
거실 식탁,43,32,74.4186046511628
카페테이블,80,38,47.5
옷방꾸미기,23,16,69.56521739130430
쌀통10kg,21,12,57.142857142857100
라탄수납장,91,45,49.45054945054950
벽난로콘솔,163,101,61.96319018404910
사무실인테리어,50,28,56.0
