"id","production_id","user_id","star_durability","star_design","star_cost","star_delivery","comment","created_at","updated_at","option","on_hide","order_option_id","card_id","avg_star","memo","admin_check","praise_count","is_photo_hidden","has_reply","reply_writer","reply_content","reply_at"
"17880481","1038914","11057681","5","5","5","5","귀여워요 ㅎㅎ 무선도 되서 더 좋은거같아요 ㅎㅎ 
무광이였음 더 좋았겠다 싶지만 잘쓸게요!","2022-05-09 12:43:32.000","2022-05-11 04:23:54.000","흰색","false","220533223","17169966","5.0",,"true","1","false","false","오늘의집 집돌이",,
"17907297","1038914","13450584","5","5","5","5","배송도 빠르고 좋아요
약간 헤드 부분이 무거워서 쓰러질 거 같긴해요","2022-05-10 23:00:53.000","2022-05-10 23:00:53.000","흰색","false","219102875","17216289","5.0",,"true","0","false","false","오늘의집 집돌이",,
"17898866","1038914","5093029",,,,,"색감 완전 쨍하고 좋아요 불빛 조절도 가능하고 딱 예쁩니다","2022-05-10 16:00:34.000","2022-05-10 16:03:16.000",,"false",,"17200569","5.0",,"true","0","false","false","오늘의집 집돌이",,
"17898891","1038914","5093029",,,,,"색감 완전 쨍하고 좋아요 불빛 조절도 가능하고 딱 예쁩니다","2022-05-10 16:01:49.000","2022-05-10 16:01:49.000",,"false",,"17200600","5.0",,"false","0","false","false","오늘의집 집돌이",,
"17898883","1038914","5093029",,,,,"색감 완전 쨍하고 좋아요 불빛 조절도 가능하고 딱 예쁩니다","2022-05-10 16:01:28.000","2022-05-10 16:01:28.000",,"false",,"17200588","5.0",,"false","0","false","false","오늘의집 집돌이",,
"17877828","1038914","1460686","5","5","5","5","배송 진짜 빠른데요?  하루반?만에 배송 되었어요!!
가성비 좋은제품인거같아용","2022-05-09 10:35:45.000","2022-05-09 10:35:45.000","노랑","false","222618472","17165910","5.0",,"true","0","false","false","오늘의집 집돌이",,
"17877226","1038914","4275805","5","5","5","5","색상도 사진과 동일하고 너무 이뻐용 잘쓸게요^^","2022-05-09 10:05:19.000","2022-05-09 10:05:19.000","노랑","false","218429952","17078112","5.0",,"true","0","false","false","오늘의집 집돌이",,
"17877043","1038914","1493629","5","5","5","5","친구 선물로 줬는데 분위기있고 좋아요 ㅎㅎㅎ","2022-05-09 09:51:25.000","2022-05-09 09:51:25.000","노랑","false","221729537","17164974","5.0",,"true","0","false","false","오늘의집 집돌이",,
"17875843","1038914","3182214","5","5","5","5","배송늦다고해서 걱정했는데 엄청 빨리왔어요!! 가격 저렴한데 생각보다 엄청 이뻐요!! 색깔도 마음에들고 디자인도 너무 좋네용ㅎㅎ","2022-05-09 03:27:19.000","2022-05-09 03:27:19.000","노랑","false","221422914","17162135","5.0",,"true","0","false","false","오늘의집 집돌이",,
"17873849","1038914","13992315","5","5","5","4","예뻐요 요즘 유행하는 컨셉으로 딱입니다.","2022-05-08 23:18:56.000","2022-05-08 23:18:56.000","노랑","false","219227828","17159335","4.75",,"true","0","false","false","오늘의집 집돌이",,
"17869667","1038914","7161628","5","5","5","5","Gooooooooood 넘 좋아요 이쁨","2022-05-08 19:53:55.000","2022-05-08 19:54:19.000","흰색","false","222335860","17153201","5.0",,"true","0","false","false","오늘의집 집돌이",,
"17857155","1038914","11983016","5","5","5","5","리뷰에서 배송 느리다고 해서 걱정했는데 주문 후 3일째 받았어요. 약간 충전이 되어와서 바로 불 켜볼 수 있었어요. 디자인 예쁘고 무선이라 편리합니다.","2022-05-08 00:31:05.000","2022-05-08 00:31:05.000","흰색","false","222141640","17134693","5.0",,"true","0","false","false","오늘의집 집돌이",,
"17856613","1038914","11171041","5","5","5","5","배송 느리다길래 걱정했는데 이틀만에 왓어요 ㅎ 이쁘네요! ","2022-05-07 23:45:18.000","2022-05-07 23:45:18.000","흰색","false","219964233","17133967","5.0",,"true","0","false","false","오늘의집 집돌이",,
"17853717","1038914","6560692","5","5","5","5","무선이어서 편하고, 귀여워요ㅠ_ㅠ 전구색상도 터치하면 바껴요","2022-05-07 20:26:05.000","2022-05-07 20:26:05.000","흰색","false","196290340","17128511","5.0",,"true","0","false","false","오늘의집 집돌이",,
