search_keyword,grade,mctr,docid,avgRank,stdevRank,impressions,clicks,uimpressions,uclicks,scrapCnt,qc,cc,uqc,ucc,f__description.bm25,f__keyword_list.korean.bm25,f__nickname.bm25,f__company.bm25,f__prod_name.bm25,f__prod_brand_name.bm25,f__prod_categories.bm25,f__decode_style.bm25,f__decode_area.bm25,f__decode_residence.bm25,f__reinforcement.bm25,f__click_keywords.bm25,f__desc.prod.keyword.bm25,f__desc.prod.bm25,f__desc.keyword.bm25,f__description.proximity,f__keyword_list.korean.proximity,f__nickname.proximity,f__company.proximity,f__prod_name.proximity,f__prod_brand_name.proximity,f__prod_categories.proximity,f__decode_style.proximity,f__decode_area.proximity,f__decode_residence.proximity,f__reinforcement.proximity,f__click_keywords.proximity,f__reply_count,f__follower_count,f__praise_count,f__scrap_count,f__view_count,f__user_card_count,f__created_at,f__has_tag,f__is_project
거실 수납장,0,0.03636363636363637,9462370,539.0,1.41,3,0,2,0,0,121,101,13,10,0.0,0.061756693,0.0,0.0,0.19732708,0.0,0.088144675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06527425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5649493,3.465736,7.6539693,0.0,7.347431e-06,1.0,0.0
거실 수납장,0,0.03636363636363637,12407637,1020.5,3.5,2,0,2,0,0,121,101,13,10,0.0,0.0,0.0,0.0,0.20970756,0.0,0.11402626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3862944,1.0986123,4.543295,0.0,0.0016539434,1.0,0.0
거실 수납장,0,0.03636363636363637,7201148,383.0,2.83,3,0,2,0,0,121,101,13,10,0.06012955,0.22880632,0.0,0.0,0.0,0.0,0.06230309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986123,0.0,3.5553482,6.1484685,9.816949,0.0,1.3755421e-07,1.0,1.0
거실 수납장,0,0.03076923076923077,6746607,123.43,0.9,7,0,6,0,0,121,101,13,10,0.23232505,0.2145417,0.0,0.0,0.16510227,0.0,0.08708412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3862944,1.0986123,5.1532917,0.0,6.593297e-08,1.0,0.0
거실 수납장,0,0.06060606060606061,14260904,5.24,0.64,16,1,13,1,0,121,101,13,10,0.14000589,0.23192835,0.0,0.0,0.17004046,0.0,0.16106851,0.0,0.0,0.030766496,0.0,0.0,0.0,0.0,0.0,0.0,0.059487425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986123,2.1972246,5.880533,0.0,0.030354576,1.0,0.0
거실 수납장,0,0.032,7931333,167.8,1.47,5,0,5,0,0,121,101,13,10,0.0609234,0.16731857,0.0,0.0,0.10290124,0.0,0.19159023,0.0,0.0,0.030766496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986123,0.0,3.6635616,5.4930615,8.625509,0.0,4.4529952e-07,1.0,0.0
거실 수납장,0,0.02857142857142857,6624516,0.0,0.0,17,0,15,0,0,121,101,13,10,0.3373153,0.0,0.0,0.0,0.2925368,0.0,0.1337546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3373153,0.0,0.0,0.0,0.2925368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.166847e-08,1.0,0.0
거실 수납장,0,0.03333333333333333,16103260,180.0,3.74,4,0,4,0,0,121,101,13,10,0.0,0.2490694,0.0,0.0,0.11553555,0.0,0.10177936,0.0,0.0,0.030766496,0.0,0.0,0.0,0.0,0.0,0.0,0.15010642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.609438,0.6931472,4.59512,0.0,0.3654649,1.0,0.0
거실 수납장,0,0.03636363636363637,5572,819.0,1.0,2,0,2,0,0,121,101,13,10,0.0,0.2992589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18068977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.609438,3.7612002,7.7527647,0.0,3.372583e-39,0.0,1.0
거실 수납장,0,0.03636363636363637,14823514,696.5,0.5,2,0,2,0,0,121,101,13,10,0.0,0.0,0.0,0.0,0.32113892,0.0,0.10784558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21950215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3862944,4.1271343,0.0,0.07231088,1.0,1.0
거실 수납장,0,0.02962962962962963,15999523,122.78,1.93,9,0,7,0,0,121,101,13,10,0.0,0.14271905,0.0,0.0,0.092757784,0.0,0.17635995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,1.0986123,3.713572,0.0,0.3304874,1.0,0.0
거실 수납장,0,0.03636363636363637,5834036,420.5,0.87,4,0,2,0,0,121,101,13,10,0.29766282,0.19853236,0.0,0.0,0.10166144,0.0,0.086831816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21784335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7917595,1.9459101,6.0980744,0.0,9.763633e-09,1.0,0.0
거실 수납장,0,0.03636363636363637,12026765,808.5,4.5,2,0,2,0,0,121,101,13,10,0.0,0.1822457,0.0,0.0,0.0,0.0,0.080319345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.609438,3.3322046,5.8998976,0.0,0.0007680553,1.0,1.0
거실 수납장,0,0.03636363636363637,14260907,323.5,3.5,2,0,2,0,0,121,101,13,10,0.0,0.256586,0.0,0.0,0.081982575,0.0,0.09899516,0.0,0.0,0.030766496,0.0,0.0,0.0,0.0,0.0,0.0,0.07244612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986123,1.0986123,5.880533,0.0,0.030354576,1.0,0.0
거실 수납장,0,0.03636363636363637,16274024,854.25,1.3,4,0,2,0,0,121,101,13,10,0.026776398,0.15119237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030766496,0.0,0.0,0.0,0.0,0.0,0.0,0.036087614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7917595,5.805135,0.0,0.44102758,1.0,0.0
거실 수납장,0,0.03636363636363637,11791607,574.0,3.0,2,0,2,0,0,121,101,13,10,0.0,0.0,0.0,0.0,0.33572513,0.0,0.0,0.0,0.0,0.030766496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33572513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,3.637586,0.0,0.0004974326,1.0,0.0
거실 수납장,1,0.06956521739130435,14480644,202.14,1.88,6,1,3,1,0,121,101,13,10,0.045307454,0.06949631,0.0,0.0,0.11272395,0.0,0.11495906,0.0,0.0,0.030766496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.944439,4.1431346,8.283494,0.0,0.041519612,1.0,0.0
거실 수납장,0,0.03636363636363637,16592145,462.0,0.0,4,0,2,0,0,121,101,13,10,0.17218195,0.0,0.0,0.0,0.20352045,0.0,0.09765941,0.0,0.0,0.030766496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20352045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.6931472,4.6051702,0.0,0.62008756,1.0,0.0
거실 수납장,0,0.03636363636363637,9995120,772.5,1.5,2,0,2,0,0,121,101,13,10,0.0,0.2062268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7725887,3.3672957,8.263591,0.0,1.9795587e-05,1.0,0.0
거실 수납장,0,0.03636363636363637,14627440,479.0,1.41,3,0,2,0,0,121,101,13,10,0.0,0.19599946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030766496,0.0,0.0,0.0,0.0,0.0,0.0,0.08659376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3862944,2.1972246,6.349139,0.0,0.052328616,1.0,0.0
거실 수납장,0,0.03636363636363637,6507509,357.5,2.5,2,0,2,0,0,121,101,13,10,0.26635224,0.28896627,0.0,0.0,0.07158761,0.0,0.06050226,0.0,0.0,0.030766496,0.0,0.0,0.0,0.0,0.0,0.0,0.24406305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.6931472,4.158883,0.0,4.051997e-08,1.0,0.0
거실 수납장,0,0.03076923076923077,11520388,134.33,1.6,6,0,6,0,0,121,101,13,10,0.17761044,0.0,0.0,0.0,0.0,0.0,0.14544086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9957323,5.948035,0.0,0.00032703308,1.0,1.0
거실 수납장,0,0.03636363636363637,14526275,1021.0,1.0,2,0,2,0,0,121,101,13,10,0.0,0.0,0.0,0.0,0.107466616,0.0,0.16760626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6390574,5.2257466,0.0,0.044355843,1.0,1.0
