search_keyword,grade,mctr,docid,avgRank,stdevRank,impressions,clicks,uimpressions,uclicks,scrapCnt,qc,cc,uqc,ucc,f__description.bm25,f__keyword_list.korean.bm25,f__nickname.bm25,f__company.bm25,f__prod_name.bm25,f__prod_brand_name.bm25,f__prod_categories.bm25,f__decode_style.bm25,f__decode_area.bm25,f__decode_residence.bm25,f__reinforcement.bm25,f__click_keywords.bm25,f__desc.prod.keyword,f__description.proximity,f__keyword_list.korean.proximity,f__nickname.proximity,f__company.proximity,f__prod_name.proximity,f__prod_brand_name.proximity,f__prod_categories.proximity,f__decode_style.proximity,f__decode_area.proximity,f__decode_residence.proximity,f__reinforcement.proximity,f__click_keywords.proximity,f__reply_count,f__follower_count,f__praise_count,f__scrap_count,f__view_count,f__user_card_count,f__created_at,f__has_tag,f__is_project
체크이불,0,0.027586206896551724,5489749,100.18,20.37,11,0,9,0,0,104,64,30,19,0.42550832,0.45333168,0.0,0.0,0.06434657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5913454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0794415,1.7917595,0.0,0.0,5.605605e-09,1.0,0.0
체크이불,0,0.027586206896551724,14625835,113.23,16.21,13,0,9,0,0,104,64,30,19,0.12205312,0.21046637,0.0,0.0,0.23351759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11377773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986123,0.0,2.9957323,3.8918202,8.636397,0.0,0.0587671,1.0,0.0
체크이불,0,0.02857142857142857,9623957,123.42,1.85,12,0,8,0,0,104,64,30,19,0.37998176,0.0,0.0,0.0,0.29685718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3862944,0.0,4.3820267,0.0,1.1330681e-05,1.0,0.0
체크이불,0,0.034782608695652174,10989470,162.67,2.62,3,0,3,0,0,104,64,30,19,0.0,0.4645623,0.0,0.0,0.25530726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7406598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0445225,0.0,0.000141332,1.0,0.0
체크이불,0,0.03636363636363637,4265345,222.5,3.5,2,0,2,0,0,104,64,30,19,0.12648922,0.0,0.0,0.0,0.31388488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8317566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,2.0794415,4.7957907,0.0,3.3614325e-10,1.0,1.0
체크이불,3,0.1,12481119,20.5,14.92,18,2,10,2,0,104,64,30,19,0.28428704,0.12108244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35973147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35973147,0.6931472,0.0,2.8332133,3.8918202,6.4630294,0.0,0.0021372873,1.0,0.0
체크이불,0,0.03636363636363637,13094260,211.5,3.5,2,0,2,0,0,104,64,30,19,0.0,0.24070403,0.0,0.0,0.18591562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3862944,1.0986123,5.5174527,0.0,0.006672219,1.0,0.0
체크이불,0,0.03333333333333333,3302930,24.07,0.26,14,0,10,0,0,104,64,30,19,0.52694273,0.50148356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40374243,0.64321315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3116336e-11,0.0,0.0
체크이불,0,0.03636363636363637,14548833,222.67,3.3,3,0,2,0,0,104,64,30,19,0.0,0.36737907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64321315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,3.0445225,0.0,0.051566925,0.0,0.0
체크이불,0,0.02857142857142857,13980661,111.9,15.71,10,0,8,0,0,104,64,30,19,0.0,0.31636685,0.0,0.0,0.24392678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42218524,0.0,0.0,0.121346846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9459101,3.8286414,0.0,0.022665394,1.0,1.0
체크이불,0,0.05555555555555555,12053539,27.59,1.16,26,1,16,1,0,104,64,30,19,0.5490916,0.38185197,0.0,0.0,0.095931776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5472185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4849067,1.609438,0.0,0.0,0.00095223304,1.0,0.0
체크이불,0,0.03636363636363637,8674886,217.33,2.36,3,0,2,0,0,104,64,30,19,0.44440678,0.0,0.0,0.0,0.16615765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3862944,2.0794415,4.919981,0.0,1.9348565e-06,1.0,0.0
체크이불,0,0.03636363636363637,7350657,253.5,3.5,2,0,2,0,0,104,64,30,19,0.0,0.27463335,0.0,0.0,0.24948731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.398526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0910425,4.2195077,8.220134,0.0,1.9862092e-07,1.0,0.0
체크이불,0,0.03636363636363637,14444497,223.5,25.5,2,0,2,0,0,104,64,30,19,0.3083238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,2.8332133,5.030438,0.0,0.044190604,1.0,1.0
