"search_keyword","qc","uqc"
"세라믹식탁","77","20"
"대리석","43","11"
"미드센추리","68","14"
"웨인스코팅","75","14"
"베란다매트","33","15"
"테라스꾸미기","183","20"
"모자걸이","47","16"
"덕질존","77","14"
"옷정리","106","40"
"반원테이블","65","25"
"커튼봉","57","37"
"코일매트","62","17"
"옷정리함","51","15"
"믹서기","72","23"
"타일테이블","63","14"
"거실화","76","25"
"오타쿠","79","13"
"티테이블","67","24"
"벤치","62","12"
"일광전구","48","19"
"월넛","57","11"
"세탁기","47","21"
"원형 테이블","56","20"
"스탠바이미","45","15"
"물티슈케이스","17","11"
"흔들의자","79","23"
"좌식화장대","47","17"
"마샬","83","24"
"블랭킷","111","30"
"야외테이블","63","12"
"캄포소파","205","21"
"행복주택26형","120","16"
"제습기","56","31"
"텀블러","17","12"
"인터폰가리개","46","12"
"일룸","16","12"
"서랍","78","42"
"프레임","24","15"
"칫솔살균기","105","22"
"전기포트","69","25"
"리퍼마켓","16","14"
"가방정리","113","23"
"좌식 화장대","43","16"
"6인용식탁","67","14"
"주방등","32","11"
"책상 스탠드","55","15"
"세면대","94","17"
"양념통","129","34"
"현관문","139","28"
"루이스폴센","67","16"
"전세집인테리어","54","11"
"샹들리에","66","16"
"여름 이불","89","39"
"화이트인테리어","77","14"
"베란다 타일","127","13"
"꽃","40","16"
"티비","96","25"
"더블침대","54","11"
"방문손잡이","43","11"
"수납침대","253","47"
"지브리","264","32"
"안방베란다","110","14"
"6평","113","16"
"에어프라이어","156","36"
"게이밍의자","68","13"
"구옥","118","18"
"주방선반","33","13"
"호텔","71","11"
"포토존","99","20"
"거실등","72","14"
"가방","28","12"
"lp","89","13"
"캣타워","102","30"
"컴퓨터","150","32"
"벽거울","74","21"
"음식물쓰레기통","22","16"
"스탠드옷걸이","62","14"
"욕실화","163","49"
"자코모","41","11"
"발코니","93","16"
"이불세트","130","42"
"리퍼","22","16"
"모던","50","15"
"원형테이블 800","38","14"
"건식화장실","105","20"
"소파 테이블","54","12"
"타공판","164","32"
"유리컵","33","11"
"욕실매트","53","23"
"화장품정리함","206","45"
"주방 수납장","46","13"
"잠옷","75","24"
"이케아 책상","56","13"
"좁은방","122","23"
"시트지","48","25"
"베란다 꾸미기","110","15"
"꽃병","135","44"
"2인쇼파","16","11"
"부엌","171","27"
"취미방","211","16"
"캔들워머","75","27"
"탁상 거울","25","13"
"템바보드","226","35"
"컴퓨터 책상","115","20"
"화이트우드","57","16"
"드라이기","15","12"
"행거옷장","97","17"
"1인쇼파","124","26"
"그릇세트","68","15"
"화이트 룸투어","31","12"
"버너","28","19"
"작업실","246","42"
"정리함","44","23"
"광폭거실","87","11"
"패브릭소파","50","11"
"무타공 벽선반","54","15"
"오하우스","46","29"
"틈새수납장","41","20"
"미니수납장","59","13"
"수저세트","68","19"
"테이블매트","142","39"
"거실인테리어","40","11"
"건조기","81","32"
"재활용분리수거함","22","12"
"모듈수납장","46","11"
"티슈케이스","29","15"
"리빙박스","93","36"
"속옷정리함","31","16"
"모니터 받침대","113","22"
"현관매트","50","20"
"윈도우시트","80","14"
"선반장","107","29"
"휴지통","103","35"
"빨래통","102","19"
"옷걸이행거","58","22"
"쌀통","56","16"
"씽크대","112","15"
"화분받침대","48","17"
"포인트벽지","72","12"
"탁상시계","80","20"
"칫솔꽂이","119","48"
"화이트보드","22","13"
"압축봉","23","15"
"북타워","37","12"
"1평","107","12"
"식탁등","459","49"
"원룸 인테리어","176","39"
"체커보드 러그","38","14"
"슈퍼싱글침대","27","11"
"미니화장대","33","15"
"화장대 조명","41","13"
"홈카페장","100","16"
"숨숨집","43","14"
"후라이팬","41","11"
"그릇장","98","24"
"Lp","64","16"
"데스커","279","45"
"26형","98","11"
"가리개 커튼","55","19"
"조명스탠드","38","16"
"원목침대","98","17"
"일리","85","15"
"화장대정리함","31","16"
"침대 프레임 퀸","34","13"
"배드테이블","27","14"
"데이베드","72","11"
"써큘레이터","73","31"
"모빌","151","44"
"식탁조명","145","23"
"수납박스","16","11"
"창문커튼","38","11"
"무인양품","67","19"
"수납선반","15","13"
"행복주택 36형","252","26"
"토스트기","23","13"
"차박","36","13"
"책상의자","85","26"
"배란다","62","13"
"원목식탁","126","16"
"방문","218","21"
