search_keyword,qc,cc,ctr,uqc,ucc,uctr
낮은 옷장,24,3,12.5,19,3,15.789473684210526
뚝배기,34,2,5.882352941176471,24,2,8.333333333333334
매트리스 ,15,0,0.0,9,0,0.0
꽃병,126,20,15.873015873015873,94,11,11.702127659574469
사무용품,19,5,26.31578947368421,9,1,11.11111111111111
벽수납,17,12,70.58823529411765,4,1,25.0
못없이커튼봉,10,0,0.0,9,0,0.0
아기옷장,41,15,36.58536585365854,25,7,28.0
시트지,289,136,47.05882352941177,121,38,31.40495867768595
키친타올홀더,13,5,38.46153846153846,9,3,33.333333333333336
냄비 정리,13,3,23.076923076923077,7,2,28.571428571428573
한샘,101,8,7.920792079207921,79,5,6.329113924050633
캠핑용품,23,2,8.695652173913043,17,1,5.882352941176471
브리타정수기,20,4,20.0,13,2,15.384615384615385
액자프레임,28,1,3.5714285714285716,21,1,4.761904761904762
붙박이장 정리,16,10,62.5,3,2,66.66666666666667
커피메이커,10,1,10.0,8,1,12.5
일인용쇼파,17,2,11.764705882352942,13,2,15.384615384615385
높은 소파 테이블,11,2,18.181818181818183,7,1,14.285714285714286
이불수납,26,11,42.30769230769231,12,4,33.333333333333336
접시수납,13,10,76.92307692307692,3,2,66.66666666666667
붙이는 조명,15,7,46.666666666666664,8,2,25.0
에밀앙리,11,1,9.090909090909092,4,1,25.0
서랍 정리,16,5,31.25,8,5,62.5
식기세트 2인,11,2,18.181818181818183,6,1,16.666666666666668
24평인테리어,10,2,20.0,7,2,28.571428571428573
체크베개커버,17,0,0.0,10,0,0.0
전신거울 수납,27,0,0.0,22,0,0.0
꾸미기,12,6,50.0,5,3,60.0
전세집인테리어,39,26,66.66666666666667,15,9,60.0
좁은주방,44,32,72.72727272727273,12,9,75.0
실리콘,16,4,25.0,12,1,8.333333333333334
문손잡이,12,0,0.0,11,0,0.0
사무실 책상,13,8,61.53846153846154,2,1,50.0
접이식토퍼,25,0,0.0,17,0,0.0
피크닉테이블,14,0,0.0,11,0,0.0
합판,13,6,46.15384615384615,6,1,16.666666666666668
화분선반,128,13,10.15625,94,8,8.51063829787234
구옥,11,2,18.181818181818183,7,2,28.571428571428573
디저트접시,38,13,34.21052631578947,19,6,31.57894736842105
밥솥 선반,11,0,0.0,10,0,0.0
벽걸이 휴지통,10,0,0.0,7,0,0.0
강아지 계단,27,2,7.407407407407407,22,2,9.090909090909092
가방수납,81,11,13.580246913580247,61,9,14.754098360655737
미니 러그,116,11,9.482758620689655,87,3,3.4482758620689653
캡슐커피머신,10,0,0.0,9,0,0.0
욕실발매트,29,3,10.344827586206897,24,2,8.333333333333334
봄이불,14,0,0.0,12,0,0.0
웍,11,1,9.090909090909092,9,1,11.11111111111111
먼지없는러그,17,2,11.764705882352942,13,2,15.384615384615385
침대 커튼,15,4,26.666666666666668,8,2,25.0
음식물쓰레기통,254,24,9.448818897637794,198,17,8.585858585858587
식탁테이블,14,0,0.0,13,0,0.0
유선 청소기,11,4,36.36363636363637,6,2,33.333333333333336
오트밀하우스,41,4,9.75609756097561,32,3,9.375
쓰레기통 20,33,3,9.090909090909092,25,1,4.0
밀대,31,5,16.129032258064516,24,2,8.333333333333334
의자양말,15,0,0.0,14,0,0.0
고데기거치대,12,1,8.333333333333334,11,1,9.090909090909092
이불패드,62,4,6.451612903225806,50,1,2.0
마오리소포라,26,6,23.076923076923077,14,2,14.285714285714286
물통,20,0,0.0,19,0,0.0
코헨,15,0,0.0,14,0,0.0
하수구,18,3,16.666666666666668,11,3,27.272727272727273
